start,end,ioi,seq_code,cv,npvi,ioi_beat,fourier_beat 
1.434,1.546,0.281,KWA1,1.02,141.09,0.76,6.88
1.715,1.781,3.469,KWA1,,,,
5.184,5.328,0.292,KWA1,,,,
5.476,5.541,4.235,KWA1,,,,
9.711,9.881,0.292,KWA1,,,,
10.003,10.073,0.302,KWA1,,,,
10.305,10.388,2.273,KWA1,,,,
12.578,12.754,0.321,KWA1,,,,
12.899,12.986,1.838,KWA1,,,,
14.737,15.101,0.465,KWA1,,,,
15.202,15.361,1.552,KWA1,,,,
16.754,17.143,0.506,KWA1,,,,
17.26,17.338,1.31,KWA1,,,,
18.57,19.033,,KWA1,,,,
,,,,,,,
34.417,34.529,2.005,KWA2,0.73,22.22,0.33,0.46
36.422,36.56,2.053,KWA2,,,,
38.475,38.622,2.177,KWA2,,,,
40.652,40.816,2.162,KWA2,,,,
42.814,42.986,2.272,KWA2,,,,
45.086,45.262,2.38,KWA2,,,,
47.466,47.645,2.802,KWA2,,,,
50.268,50.438,8.241,KWA2,,,,
58.509,58.648,,KWA2,,,,
,,,,,,,
20.789,21.171,2.25,KWA3,0.07,7.96,0.43,0.43
23.039,23.297,2.229,KWA3,,,,
25.268,25.609,2.2,KWA3,,,,
27.468,27.736,2.523,KWA3,,,,
29.991,30.288,,KWA3,,,,
,,,,,,,
0.708,1.114,5.903,KWA4,0.78,78.75,0.47,2.48
6.611,6.785,2.516,KWA4,,,,
9.127,9.31,0.401,KWA4,,,,
9.528,9.627,0.398,KWA4,,,,
9.926,9.982,0.492,KWA4,,,,
10.418,10.618,3.136,KWA4,,,,
13.554,13.782,0.331,KWA4,,,,
13.885,14.124,0.429,KWA4,,,,
14.314,14.412,2.359,KWA4,,,,
16.673,17.201,2.867,KWA4,,,,
19.54,20.135,2.909,KWA4,,,,
22.449,22.9,0.867,KWA4,,,,
23.316,23.565,2.256,KWA4,,,,
25.572,26.005,1.261,KWA4,,,,
26.833,27.086,3.623,KWA4,,,,
30.456,30.71,4.085,KWA4,,,,
34.541,34.783,,KWA4,,,,
,,,,,,,
43.492,43.625,2.075,KWA5,0.79,6.29,0.46,0.46
45.567,45.773,2.023,KWA5,,,,
47.59,47.935,2.225,KWA5,,,,
49.815,50.032,2.218,KWA5,,,,
52.033,52.249,2.367,KWA5,,,,
54.4,54.611,,KWA5,,,,
,,,,,,,
44.21,44.361,2.006,KWA6,0.09,8.09,0.48,0.48
46.216,46.371,1.993,KWA6,,,,
48.209,48.368,1.866,KWA6,,,,
50.075,50.236,1.939,KWA6,,,,
52.014,52.197,2.255,KWA6,,,,
54.269,54.469,2.14,KWA6,,,,
56.409,56.581,2.343,KWA6,,,,
58.752,58.92,,KWA6,,,,
,,,,,,,
0.89,1.035,0.298,KWA7,0.83,171.8,0.93,3.1
1.188,1.259,2.302,KWA7,,,,
3.49,3.662,0.311,KWA7,,,,
3.801,3.875,1.576,KWA7,,,,
5.377,5.629,0.372,KWA7,,,,
5.749,5.823,1.56,KWA7,,,,
7.309,7.615,,KWA7,,,,
,,,,,,,
1.681,1.977,0.528,KWA8,0.64,119.55,0.53,0.33
2.209,2.34,2.518,KWA8,,,,
4.727,5.021,0.526,KWA8,,,,
5.253,5.374,2.586,KWA8,,,,
7.839,8.228,2.792,KWA8,,,,
10.631,11.006,3.114,KWA8,,,,
13.745,14.105,0.386,KWA8,,,,
14.131,14.332,2.635,KWA8,,,,
16.766,17.188,,KWA8,,,,
,,,,,,,
30.648,30.787,0.286,KWA9,0.9,125.52,0.82,0.54
30.934,31.018,1.216,KWA9,,,,
32.15,32.311,0.31,KWA9,,,,
32.46,32.53,1.514,KWA9,,,,
33.974,34.155,0.326,KWA9,,,,
34.3,34.385,1.626,KWA9,,,,
35.926,36.169,1.916,KWA9,,,,
37.842,38.12,3.48,KWA9,,,,
41.322,41.476,0.309,KWA9,,,,
41.631,41.673,,KWA9,,,,
,,,,,,,
49.304,49.471,0.304,KWA10,0.99,142.82,0.99,3.28
49.608,49.701,0.277,KWA10,,,,
49.885,49.964,2.402,KWA10,,,,
52.287,52.464,0.321,KWA10,,,,
52.608,52.695,2.704,KWA10,,,,
55.312,55.512,0.328,KWA10,,,,
55.64,55.74,1.521,KWA10,,,,
57.161,57.308,0.302,KWA10,,,,
57.463,57.541,0.929,KWA10,,,,
