start,end,ioi,seq_code,cv,npvi,ioi_beat,fourier_beat 
53.864,57.632,71.818,OR1-10min,1.21,235.8, -- , -- 
125.682,130.085,9.702,OR1-10min,,,,
135.384,139.068,320.874,OR1-10min,,,,
456.258,460.353,9.45,OR1-10min,,,,
465.708,470.073,163.888,OR1-10min,,,,
629.596,633.169,,OR1-10min,,,,
,,,,,,,
122.144,126.927,10.863,OR2-10min,1,116.02, -- , -- 
133.007,137.447,105.784,OR2-10min,,,,
238.791,242.636,179.032,OR2-10min,,,,
417.823,421.285,136.808,OR2-10min,,,,
554.631,558.225,11.778,OR2-10min,,,,
566.409,571.034,20.679,OR2-10min,,,,
587.088,589.612,,OR2-10min,,,,
,,,,,,,
2.396,7,43.676,OR3-10min,1.01,113.13, -- , -- 
46.072,50.161,185.821,OR3-10min,,,,
231.893,235.113,31.528,OR3-10min,,,,
263.421,267.183,21.954,OR3-10min,,,,
285.375,293.789,22.985,OR3-10min,,,,
308.36,312.225,148.144,OR3-10min,,,,
456.504,460.996,,OR3-10min,,,,
,,,,,,,
41.292,45.032,234.831,OR4-10min,1.32,137.07, -- , -- 
276.123,281.316,61.839,OR4-10min,,,,
337.962,342.389,14.628,OR4-10min,,,,
352.59,356.752,20.626,OR4-10min,,,,
373.216,375.951,,OR4-10min,,,,
,,,,,,,
27.963,32.848,64.986,OR5-10min,0.8,99.54, -- , -- 
92.949,96.778,34.724,OR5-10min,,,,
127.673,131.343,60.589,OR5-10min,,,,
188.262,192.949,110.761,OR5-10min,,,,
299.023,303.815,41.391,OR5-10min,,,,
340.414,345.392,207.289,OR5-10min,,,,
547.703,551.849,,OR5-10min,,,,
,,,,,,,
14.19,19.823,73.126,OR6-10min,0.37,35.53, -- , -- 
87.316,92.112,71.373,OR6-10min,,,,
158.689,162.316,42.888,OR6-10min,,,,
201.577,204.214,35.527,OR6-10min,,,,
237.104,242.697,,OR6-10min,,,,
,,,,,,,
146.481,149.684,32.662,OR7-10min,0.65,132.26, -- , -- 
179.143,183.395,126.561,OR7-10min,,,,
305.704,310.424,146.08,OR7-10min,,,,
451.784,456.91,,OR7-10min,,,,
,,,,,,,
9.395,14.281,237.123,OR8-10min,0.87,158.55, -- , -- 
246.518,250.504,55.009,OR8-10min,,,,
301.527,306.376,77.436,OR8-10min,,,,
378.963,383.468,,OR8-10min,,,,
,,,,,,,
143.706,149.18,234.492,OR9-10min,0.68,143.42, -- , -- 
378.198,384.176,195.017,OR9-10min,,,,
573.215,578.556,44.973,OR9-10min,,,,
618.188,623.09,,OR9-10min,,,,
,,,,,,,
40.795,47.794,25.398,OR10-10min,0.66,111.89, -- , -- 
66.193,73.749,147.033,OR10-10min,,,,
213.226,220.066,161.296,OR10-10min,,,,
374.522,382.343,74.656,OR10-10min,,,,
449.178,456.31,,OR10-10min,,,,
