start,end,ioi,seq_code,cv,npvi,ioi_beat,fourier_beat 
60.296,60.664,1.719,BM1,0.17,16.28,0.59,0.6
62.015,62.43,1.53,BM1,,,,
63.545,63.967,1.665,BM1,,,,
65.21,65.589,1.55,BM1,,,,
66.76,67.199,1.793,BM1,,,,
68.553,68.915,1.577,BM1,,,,
70.13,70.566,1.865,BM1,,,,
71.995,72.457,1.59,BM1,,,,
73.585,74.03,1.603,BM1,,,,
75.188,75.471,1.617,BM1,,,,
76.805,77.149,1.879,BM1,,,,
78.684,79.097,1.772,BM1,,,,
80.456,80.855,1.7,BM1,,,,
82.156,82.517,1.526,BM1,,,,
83.682,84.048,1.79,BM1,,,,
85.472,85.896,1.637,BM1,,,,
87.109,87.534,1.639,BM1,,,,
88.748,89.12,1.383,BM1,,,,
90.131,90.393,1.213,BM1,,,,
91.344,91.709,1.773,BM1,,,,
93.117,93.572,1.717,BM1,,,,
94.834,95.113,1.506,BM1,,,,
96.34,96.689,1.878,BM1,,,,
98.218,98.572,1.919,BM1,,,,
100.137,100.564,1.856,BM1,,,,
101.993,102.332,1.802,BM1,,,,
103.795,104.228,2.093,BM1,,,,
105.888,106.283,1.784,BM1,,,,
107.672,108.002,2.031,BM1,,,,
109.703,109.987,1.519,BM1,,,,
111.222,111.426,0.98,BM1,,,,
112.202,112.596,2.764,BM1,,,,
114.966,115.335,1.619,BM1,,,,
116.585,116.948,1.606,BM1,,,,
118.191,118.556,1.757,BM1,,,,
119.948,120.39,,BM1,,,,
,,,,,,,
1.033,1.758,2.12,BM2,0.36,27.36,0.42,1.01
3.153,3.686,2.713,BM2,,,,
5.866,6.305,1.769,BM2,,,,
7.635,8.237,2.108,BM2,,,,
9.743,10.41,2.844,BM2,,,,
12.587,13.111,1.892,BM2,,,,
14.479,15.071,1.852,BM2,,,,
16.331,16.978,2.176,BM2,,,,
18.507,19.167,2.103,BM2,,,,
20.61,21.062,5.242,BM2,,,,
25.852,26.444,2.389,BM2,,,,
28.241,28.74,2.213,BM2,,,,
30.454,31.005,3.014,BM2,,,,
33.468,33.88,4.916,BM2,,,,
38.384,38.803,1.868,BM2,,,,
40.252,40.822,2.126,BM2,,,,
42.378,42.862,2.09,BM2,,,,
44.468,45.1,2.027,BM2,,,,
46.495,47.102,2.201,BM2,,,,
48.696,49.313,2.521,BM2,,,,
51.217,51.839,2.023,BM2,,,,
53.24,53.782,1.752,BM2,,,,
54.992,55.594,2.198,BM2,,,,
57.19,57.838,1.863,BM2,,,,
59.053,59.66,2.168,BM2,,,,
61.221,61.889,1.873,BM2,,,,
63.094,63.675,,BM2,,,,
,,,,,,,
2.954,3.292,1.447,BM3,0.22,23.08,0.62,7.3
4.401,4.832,1.572,BM3,,,,
5.973,6.39,1.551,BM3,,,,
7.524,7.948,1.532,BM3,,,,
9.056,9.445,1.914,BM3,,,,
10.97,11.288,1.473,BM3,,,,
12.443,12.767,1.503,BM3,,,,
13.946,14.334,1.642,BM3,,,,
15.588,15.991,1.891,BM3,,,,
17.479,17.796,1.446,BM3,,,,
18.925,19.257,1.547,BM3,,,,
20.472,20.874,1.692,BM3,,,,
22.164,22.483,0.72,BM3,,,,
22.884,23.179,1.555,BM3,,,,
24.439,24.834,1.706,BM3,,,,
26.145,26.466,2.042,BM3,,,,
28.187,28.531,1.949,BM3,,,,
30.136,30.461,1.632,BM3,,,,
31.768,32.095,1.216,BM3,,,,
32.984,33.362,1.389,BM3,,,,
34.373,34.683,1.455,BM3,,,,
35.828,36.137,1.82,BM3,,,,
37.648,38.041,1.262,BM3,,,,
38.91,39.218,1.363,BM3,,,,
40.273,40.669,1.581,BM3,,,,
41.854,42.176,1.396,BM3,,,,
43.25,43.589,1.271,BM3,,,,
44.521,44.943,1.721,BM3,,,,
46.242,46.649,1.245,BM3,,,,
47.487,47.904,2.463,BM3,,,,
49.95,50.342,1.645,BM3,,,,
51.595,51.932,2.707,BM3,,,,
54.302,54.634,1.533,BM3,,,,
55.835,56.174,1.539,BM3,,,,
57.374,57.777,1.897,BM3,,,,
59.271,59.675,1.688,BM3,,,,
60.959,61.431,,BM3,,,,
,,,,,,,
0.745,1.059,2.986,BM4,0.14,13.4,0.36,1.79
3.731,4.132,2.932,BM4,,,,
6.663,6.898,2.158,BM4,,,,
8.821,9.141,2.353,BM4,,,,
11.174,11.577,2.734,BM4,,,,
13.908,14.265,2.79,BM4,,,,
16.698,17.03,2.092,BM4,,,,
18.79,19.101,2.881,BM4,,,,
21.671,21.98,2.244,BM4,,,,
23.915,24.241,2.366,BM4,,,,
26.281,26.593,2.78,BM4,,,,
29.061,29.465,2.743,BM4,,,,
31.804,32.175,2.705,BM4,,,,
34.509,34.88,2.706,BM4,,,,
37.215,37.545,2.981,BM4,,,,
40.196,40.543,2.266,BM4,,,,
42.462,42.853,2.704,BM4,,,,
45.166,45.447,3.269,BM4,,,,
