start [seconds];end [seconds];frog species;recording;sequence within recording;ioi* [seconds];situation;* in this case end-to-end intervals
22,168306;22,604909;WSF;1;WSF 1;9,973719;alone;
32,167262;32,578628;WSF;1;WSF 1;17,635715;alone;
49,676792;50,214343;WSF;1;WSF 1;7,000784;alone;
56,622054;57,215127;WSF;1;WSF 1;4,073274;alone;
60,685234;61,288401;WSF;1;WSF 1;0,653641999999998;alone;
61,507965;61,942043;WSF;1;WSF 1;0,65869;alone;
62,143941;62,600733;WSF;1;WSF 1;4,189366;alone;
66,26769;66,790099;WSF;1;WSF 1;0,612000000000009;alone;
66,993258;67,402099;WSF;1;WSF 1;0,575406999999998;alone;
67,598949;67,977506;WSF;1;WSF 1;0,603167999999997;alone;
68,166785;68,580674;WSF;1;WSF 1;0,603167999999997;alone;
68,777524;69,183842;WSF;1;WSF 1;0,623356999999999;alone;
69,375644;69,807199;WSF;1;WSF 1;0,577931000000007;alone;
69,982597;70,38513;WSF;1;WSF 1;0,561526000000001;alone;
70,564313;70,946656;WSF;1;WSF 1;0,62714299999999;alone;
71,15991;71,573799;WSF;1;WSF 1;0,354582000000008;alone;
71,788315;71,928381;WSF;1;WSF 1;0,559003000000004;alone;
72,113874;72,487384;WSF;1;WSF 1;0,600643999999988;alone;
72,671615;73,088028;WSF;1;WSF 1;5,06888000000001;alone;
77,7304;78,156908;WSF;1;WSF 1;0,593073000000004;alone;
78,419374;78,749981;WSF;1;WSF 1;0,514837;alone;
78,929164;79,264818;WSF;1;WSF 1;0,422090999999995;alone;
79,42255;79,686909;WSF;1;WSF 1;0,412627999999998;alone;
79,847796;80,099537;WSF;1;WSF 1;0,351427000000001;alone;
80,285661;80,450964;WSF;1;WSF 1;6,896049;alone;
86,892745;87,347013;WSF;1;WSF 1;10,911279;alone;
97,897401;98,258292;WSF;1;WSF 1;26,915413;alone;
124,651296;125,173705;WSF;1;WSF 1;21,302672;alone;
145,991824;146,476377;WSF;1;WSF 1;16,455248;alone;
162,542342;162,931625;WSF;1;WSF 1;0,652379999999994;alone;
163,245197;163,584005;WSF;1;WSF 1;9,59957900000001;alone;
172,77348;173,183584;WSF;1;WSF 1;37,296711;alone;
209,988171;210,480295;WSF;1;WSF 1;0,323035999999973;alone;
210,554745;210,803331;WSF;1;WSF 1;26,475024;alone;
237,09791;237,278355;WSF;1;WSF 1;5,89287300000001;alone;
242,96176;243,171228;WSF;1;WSF 1;5,07771299999999;alone;
247,631893;248,248941;WSF;1;WSF 1;3,96097;alone;
252,053441;252,209911;WSF;1;WSF 1;1,27699899999999;alone;
253,060403;253,48691;WSF;1;WSF 1;3,67326599999998;alone;
256,681933;257,160176;WSF;1;WSF 1;1,783005;alone;
258,408153;258,943181;WSF;1;WSF 1;0,864372000000003;alone;
259,190505;259,807553;WSF;1;WSF 1;2,32307900000001;alone;
261,623365;262,130632;WSF;1;WSF 1;2,193107;alone;
263,707953;264,323739;WSF;1;WSF 1;0,837873999999999;alone;
264,63668;265,161613;WSF;1;WSF 1;0,788659999999993;alone;
265,403889;265,950273;WSF;1;WSF 1;0,865634;alone;
266,297284;266,815907;WSF;1;WSF 1;0,271299999999997;alone;
266,872691;267,087207;WSF;1;WSF 1;4,46949800000004;alone;
271,092341;271,556705;WSF;1;WSF 1;0,884560999999962;alone;
271,935262;272,441266;WSF;1;WSF 1;1,59625;alone;
273,532773;274,037516;WSF;1;WSF 1;0,72115100000002;alone;
274,297458;274,758667;WSF;1;WSF 1;0,640393000000017;alone;
274,994003;275,39906;WSF;1;WSF 1;0,605690999999979;alone;
275,631241;276,004751;WSF;1;WSF 1;0,612001000000021;alone;
276,244504;276,616752;WSF;1;WSF 1;0,629665999999986;alone;
276,857766;277,246418;WSF;1;WSF 1;0,618941000000007;alone;
277,440744;277,865359;WSF;1;WSF 1;0,621465000000001;alone;
278,031294;278,486824;WSF;1;WSF 1;0,644809000000009;alone;
278,673579;279,131633;WSF;1;WSF 1;1,77290899999997;alone;
280,470463;280,904542;WSF;1;WSF 1;0,724306000000013;alone;
281,265433;281,628848;WSF;1;WSF 1;3,16032200000001;alone;
284,310295;284,78917;WSF;1;WSF 1;0,771624999999972;alone;
285,153215;285,560795;WSF;1;WSF 1;0,575407000000041;alone;
285,804334;286,136202;WSF;1;WSF 1;0,574144999999987;alone;
286,377848;286,710347;WSF;1;WSF 1;0,142589999999984;alone;
286,714133;286,852937;WSF;1;WSF 1;0,464362999999992;alone;
286,894578;287,3173;WSF;1;WSF 1;3,06126599999999;alone;
289,828396;290,378566;WSF;1;WSF 1;0,749543000000017;alone;
290,600653;291,128109;WSF;1;WSF 1;0,781089000000009;alone;
291,352719;291,909198;WSF;1;WSF 1;0,786767999999995;alone;
292,106048;292,695966;WSF;1;WSF 1;23,530481;alone;
315,950101;316,226447;WSF;1;WSF 1;13,275999;alone;
328,951015;329,502446;WSF;1;WSF 1;9,47780899999998;alone;
338,263521;338,980255;WSF;1;WSF 1;8,20207199999999;alone;
346,601873;347,182327;WSF;1;WSF 1;0,909799000000021;alone;
347,920513;348,092126;WSF;1;WSF 1;9,55225799999999;alone;
357,094215;357,644384;WSF;1;WSF 1;5,31115699999998;alone;
362,460893;362,955541;WSF;1;WSF 1;0,985511000000031;alone;
363,643253;363,941052;WSF;1;WSF 1;5,26320599999997;alone;
368,588471;369,204258;WSF;1;WSF 1;0,643547000000012;alone;
369,330443;369,847805;WSF;1;WSF 1;0,959011000000032;alone;
370,294502;370,806816;WSF;1;WSF 1;12,901859;alone;
383,46072;383,708675;WSF;1;WSF 1;15,460904;alone;
398,976515;399,169579;WSF;1;WSF 1;0,389913999999976;alone;
399,191031;399,559493;WSF;1;WSF 1;;alone;
454,914642;455,255344;WSF;1;WSF 2;0,54890800000004;alone;
455,353769;455,804252;WSF;1;WSF 2;17,226873;alone;
472,681591;473,031125;WSF;1;WSF 2;7,42350600000003;alone;
480,045789;480,454631;WSF;1;WSF 2;5,28970499999997;alone;
485,254735;485,744336;WSF;1;WSF 2;0,480768000000012;alone;
485,820047;486,225104;WSF;1;WSF 2;3,40575200000001;alone;
489,030212;489,630856;WSF;1;WSF 2;4,840484;alone;
493,895933;494,47134;WSF;1;WSF 2;3,84361699999999;alone;
497,726931;498,314957;WSF;1;WSF 2;0,719258000000025;alone;
498,519378;499,034215;WSF;1;WSF 2;4,52880599999997;alone;
502,97121;503,563021;WSF;1;WSF 2;0,517360999999994;alone;
503,67785;504,080382;WSF;1;WSF 2;0,616417000000013;alone;
504,286065;504,696799;WSF;1;WSF 2;0,587395000000015;alone;
504,889233;505,284194;WSF;1;WSF 2;0,600643999999988;alone;
505,483567;505,884838;WSF;1;WSF 2;0,656165999999985;alone;
506,100615;506,541004;WSF;1;WSF 2;0,367831000000024;alone;
506,782018;506,908835;WSF;1;WSF 2;15,772583;alone;
522,05049;522,681418;WSF;1;WSF 2;0,302215000000047;alone;
522,741987;522,983633;WSF;1;WSF 2;14,7555269999999;alone;
537,076685;537,73916;WSF;1;WSF 2;4,48337800000002;alone;
541,629465;542,222538;WSF;1;WSF 2;13,773171;alone;
555,434182;555,995709;WSF;1;WSF 2;30,292142;alone;
585,949674;586,287851;WSF;1;WSF 2;;alone;
;;;;;;;
28,03354;28,71222;WSF;2;WSF 1;4,4489;alone;
32,435843;33,16112;WSF;2;WSF 1;3,57168;alone;
36,207076;36,7328;WSF;2;WSF 1;2,853495;alone;
39,092986;39,586295;WSF;2;WSF 1;0,531801999999999;alone;
39,839534;40,118097;WSF;2;WSF 1;3,23234;alone;
42,820662;43,350437;WSF;2;WSF 1;0,791119000000002;alone;
43,595573;44,141556;WSF;2;WSF 1;2,218372;alone;
45,749116;46,359928;WSF;2;WSF 1;2,134297;alone;
47,902659;48,494225;WSF;2;WSF 1;1,11729;alone;
49,033117;49,611515;WSF;2;WSF 1;3,59700400000001;alone;
52,590616;53,208519;WSF;2;WSF 1;0,329209999999996;alone;
53,211558;53,537729;WSF;2;WSF 1;2,86869;alone;
55,909058;56,406419;WSF;2;WSF 1;0,641201000000002;alone;
56,754876;57,04762;WSF;2;WSF 1;5,460842;alone;
62,077956;62,508462;WSF;2;WSF 1;5,86096;alone;
68,019952;68,369422;WSF;2;WSF 2;;;
151,963563;152,287708;WSF;2;;;;
155,557528;156,102498;WSF;2;;;;
160,253589;160,82287;WSF;2;;;;
164,46951;164,955728;WSF;2;;;;
240,941561;241,636449;WSF;2;WSF 2;19,461911;alone;
260,487548;261,09836;WSF;2;WSF 2;3,97179799999998;alone;
264,622432;265,070158;WSF;2;WSF 2;3,76211599999999;alone;
268,198164;268,832274;WSF;2;WSF 2;3,11179900000002;alone;
271,362637;271,944073;WSF;2;WSF 2;3,26880699999998;alone;
274,717545;275,21288;WSF;2;WSF 2;3,48254000000003;alone;
277,983313;278,69542;WSF;2;WSF 2;3,22828899999996;alone;
281,45775;281,923709;WSF;2;WSF 2;0,785040000000038;alone;
282,253933;282,708749;WSF;2;WSF 2;1,21149500000001;alone;
283,372235;283,920244;WSF;2;WSF 2;2,78157599999997;alone;
286,461749;286,70182;WSF;2;WSF 2;0,61182500000001;alone;
286,89732;287,313645;WSF;2;WSF 2;0,766806999999972;alone;
287,573974;288,080452;WSF;2;WSF 2;0,810363999999993;alone;
288,551476;288,890816;WSF;2;WSF 2;0,696913000000052;alone;
289,275739;289,587729;WSF;2;WSF 2;1,065629;alone;
290,248176;290,653358;WSF;2;WSF 2;2,54454399999997;alone;
292,841342;293,197902;WSF;2;WSF 2;0,875194000000022;alone;
293,684121;294,073096;WSF;2;WSF 2;3,24854699999997;alone;
296,79592;297,321643;WSF;2;WSF 2;0,308952000000033;alone;
297,484729;297,630595;WSF;2;WSF 2;1,50423899999998;alone;
298,813727;299,134834;WSF;2;WSF 2;0,449751999999989;alone;
299,316153;299,584586;WSF;2;WSF 2;2,69547399999999;alone;
302,110896;302,28006;WSF;2;WSF 2;0,603721000000007;alone;
302,714618;302,883781;WSF;2;WSF 2;0,540917999999976;alone;
302,942533;303,424699;WSF;2;WSF 2;0,473050999999998;alone;
303,555371;303,89775;WSF;2;WSF 2;0,635123000000021;alone;
304,154027;304,532873;WSF;2;WSF 2;0,487231000000008;alone;
304,858031;305,020104;WSF;2;WSF 2;0,25931700000001;alone;
305,057584;305,279421;WSF;2;WSF 2;0,41024699999997;alone;
305,540763;305,689668;WSF;2;WSF 2;0,836701000000005;alone;
306,103966;306,526369;WSF;2;WSF 2;0,659434000000033;alone;
306,889007;307,185803;WSF;2;WSF 2;0,598656000000005;alone;
307,500832;307,784459;WSF;2;WSF 2;0,729327999999953;alone;
307,98705;308,513787;WSF;2;WSF 2;0,702990999999997;alone;
308,659653;309,216778;WSF;2;WSF 2;0,528763000000026;alone;
309,328203;309,745541;WSF;2;WSF 2;0,533826999999974;alone;
309,85494;310,279368;WSF;2;WSF 2;1,299622;alone;
311,403749;311,57899;WSF;2;WSF 2;0,786053000000038;alone;
312,078377;312,365043;WSF;2;WSF 2;1,62174199999998;alone;
313,644406;313,986785;WSF;2;WSF 2;0,582448999999997;alone;
314,193428;314,569234;WSF;2;WSF 2;0,678679999999986;alone;
314,733333;315,247914;WSF;2;WSF 2;0,536867000000029;alone;
315,442402;315,784781;WSF;2;WSF 2;0,459881999999993;alone;
315,912413;316,244663;WSF;2;WSF 2;0,463932999999997;alone;
316,329751;316,708596;WSF;2;WSF 2;0,226901999999995;alone;
316,809892;316,935498;WSF;2;WSF 2;0,470011;alone;
317,067182;317,405509;WSF;2;WSF 2;1,81319000000002;alone;
319,055614;319,218699;WSF;2;WSF 2;0,64930499999997;alone;
319,72619;319,868004;WSF;2;WSF 2;0,628032000000019;alone;
320,263056;320,496036;WSF;2;WSF 2;0,939009999999996;alone;
320,867791;321,435046;WSF;2;WSF 2;1,74025699999999;alone;
322,786328;323,175303;WSF;2;WSF 2;1,13552300000003;alone;
324,102157;324,310826;WSF;2;WSF 2;1,83344899999997;alone;
325,64894;326,144275;WSF;2;WSF 2;0,716160000000002;alone;
326,446136;326,860435;WSF;2;WSF 2;0,715146000000004;alone;
