Piece,Label SD,SD,Clave_?,Section,Clave,Bass ,Guitar,Tres,Bongo,Bell,Cajon,Conga,Trumpet,Cl_Dens,Bs_Dens,Gt_Dens,Tr_Dens,Bn_Dens,Bl_Dens,Cj_Dens,Cn_Dens,Tm_Dens,Cl_Peak,Bs_Peak,Gt_Peak,Tr_Peak,Bn_Peak,Bl_Peak,Cj_Peak,Cn_Peak,Tm_Peak
Song_1,1|1,1,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,1|2,2,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,1|3,3,1,Son,,,,,,,41.178212,,,,,,,,,,,,,,,,,,0.108267,,
Song_1,1|4,4,N,Son,,,,,,,41.358699,,,,,,,,,,,,,,,,,,0.335102,,
Song_1,1|5,5,2,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,1|6,6,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,1|7,7,N,Son,,,,,,,41.875127,,,,,,,,,,,,,,,,,,0.533114,,
Song_1,1|8,8,N,Son,,42.05369,,,,,,,,,,,,,,,,,,0.673216,,,,,,,
Song_1,1|9,9,3,Son,,42.296115,,,,,,,,,,,,,,,,,,0.573753,,,,,,,
Song_1,1|10,10,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,1|11,11,N,Son,,42.535768,,,,,42.571815,,,,,,,,,2,,,,0.426959,,,,,0.161691,,
Song_1,1|12,12,4,Son,,,,,,,42.747067,,,,,,,,,2.5,,,,,,,,,0.331334,,
Song_1,1|13,13,N,Son,,42.975715,,,,,,,,,,,,,,,,,,0.329508,,,,,,,
Song_1,1|14,14,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,1|15,15,5,Son,,43.247475,,,,,43.269314,,,,,,,,,2.5,,,,0.499074,,,,,0.372065,,
Song_1,1|16,16,N,Son,,,43.45051,,,,,,,,,,,,,,,,,,0.153801,,,,,,
Song_1,2|1,1,N,Son,,43.592303,,43.615348,,,,,,,,,,,,,,,,0.451948,,0.191589,,,,,
Song_1,2|2,2,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,2|3,3,1,Son,,,,,,,44.007085,,,,,,,,,2,,,,,,,,,0.208244,,
Song_1,2|4,4,N,Son,,,,,,,44.189466,,,,,,,,,2.5,,,,,,,,,0.208368,,
Song_1,2|5,5,2,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,2|6,6,N,Son,,44.507231,,,,,,,,,2.5,,,,,,,,,0.361419,,,,,,,
Song_1,2|7,7,N,Son,,,,,,,44.703649,,,,,,,,,2.5,,,,,,,,,0.435675,,
Song_1,2|8,8,N,Son,,44.881501,,,,,,,,,2.5,,,,,,,,,0.33506,,,,,,,
Song_1,2|9,9,3,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,2|10,10,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,2|11,11,N,Son,,,,,,,45.387234,,,,,,,,,2,,,,,,,,,0.150163,,
Song_1,2|12,12,4,Son,,,,,,,45.564474,,,,,,,,,2.5,,,,,,,,,0.289848,,
Song_1,2|13,13,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,2|14,14,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,2|15,15,5,Son,,,,,,,46.094597,,,,,,,,,2.5,,,,,,,,,0.532088,,
Song_1,2|16,16,N,Son,,46.272689,,,,,,,,,1.5,,,,,,,,,0.34973,,,,,,,
