Bass,Bass peak,Clave,Clave peak,Guitar,Guitar peak,Tres,Tres peak,Bongos,Bongos peak,Bell,Bell peak,Trumpet,Trumpet peak
4.542155,0.820477,6.392582,0.468191,4.583853,0.498381,4.544287,0.470309,1.469632,0.096388,149.486218,0.17142,61.966949,0.239291
5.714555,0.383271,7.28634,0.507242,5.281932,0.128505,5.730943,0.2044,1.714419,0.207962,149.695873,0.311725,62.168044,0.260946
5.927078,0.76118,7.72558,0.531995,5.480643,0.290994,5.917083,0.430382,1.949996,0.093328,149.927888,0.284254,67.5358,0.340105
6.115362,0.326799,8.607607,0.288885,5.707537,0.485579,6.144901,0.287019,2.182356,0.08015,150.160757,0.811651,67.983395,0.319033
6.348096,0.582171,9.261192,0.516514,5.939071,0.187979,6.587124,0.480764,2.414686,0.148179,150.634526,0.099504,68.209184,0.532047
6.526024,0.323223,9.925888,0.569608,6.153243,0.164228,7.019113,0.46024,2.647491,0.662271,151.064743,0.534057,68.646678,0.415061
6.708974,0.300099,10.803546,0.682748,6.354059,0.612213,7.509693,0.323184,3.150291,0.193385,151.51054,0.127198,68.869985,0.357384
7.688646,0.928973,11.23841,0.685034,6.605737,0.467205,7.724421,0.377949,3.293607,0.171206,151.72493,0.162768,69.063386,0.390913
8.144071,0.821501,12.123741,0.738609,6.839689,0.50596,7.958183,0.632575,3.441346,0.306361,151.949406,0.571189,69.782187,0.212105
9.467583,0.610975,12.80102,0.580606,7.030598,0.504305,8.289734,0.587162,3.607886,0.250568,152.37659,0.071443,69.947402,0.196766
9.895688,0.505664,13.456759,0.563916,7.247185,0.306811,8.571167,0.711579,4.08267,0.650946,152.61487,0.207612,70.121698,0.2493
10.073358,0.294576,14.331366,0.64621,7.486118,0.314721,8.887451,0.585956,4.531532,0.676598,152.837019,0.588116,70.34086,0.64592
11.236395,0.775792,14.78588,0.708781,7.711805,0.530593,9.240644,0.56223,5.477695,0.208524,153.286042,0.134737,70.541964,0.247209
11.675659,0.681105,15.673018,0.501056,7.93741,0.118675,9.669264,0.461227,5.718635,0.080545,153.525661,0.150394,70.72525,0.397842
13.012866,0.560486,16.318679,0.424354,8.131612,0.445578,9.884393,0.356511,5.926234,0.081259,153.743017,0.685075,70.927032,0.727146
13.436662,0.400228,16.984758,0.576501,8.599172,0.222427,10.092997,0.390883,6.155149,0.019564,154.187792,0.148024,71.154131,0.827877
14.779534,0.569106,17.871598,0.579071,8.803476,0.386859,10.3193,0.496863,6.354287,0.015383,154.644695,0.689374,71.261281,0.30768
15.213903,0.731326,18.303867,0.559084,9.031986,0.334674,10.527588,0.303807,6.591264,0.28259,155.086006,0.098473,71.444039,0.770103
16.3274,0.479181,19.173597,0.469869,9.271589,0.525932,10.749578,0.375479,7.049004,0.025968,155.314785,0.134814,71.595968,0.476881
16.521603,0.569823,19.828665,0.447586,9.478042,0.344956,10.983529,0.473623,7.266582,0.12034,155.537128,0.562178,71.752559,0.205696
16.965014,0.431469,20.480254,0.487387,9.67211,0.177826,11.253509,0.429078,7.474943,0.015306,155.760428,0.596442,71.940888,0.166447
18.284745,0.669203,21.359685,0.610404,9.888375,0.297059,11.576681,0.130023,7.937723,0.248163,156.21409,0.110021,72.116943,0.280944
18.715426,0.583804,21.812891,0.64838,10.150941,0.460293,11.840994,0.255822,8.372463,0.384661,156.440129,0.647542,72.299045,0.450119
19.803122,0.43012,22.686183,0.532874,10.366553,0.133125,12.2988,0.166435,8.795311,0.387405,156.882294,0.073833,72.517682,0.590986
20.012124,0.628218,23.333502,0.502877,10.573985,0.440332,12.756969,0.505864,8.995437,0.3743,157.112266,0.109668,72.739854,0.719012
20.480944,0.40746,23.975765,0.616843,10.79683,0.160202,13.178399,0.214535,9.687925,0.020966,157.336434,0.557501,72.950724,0.192534
21.809162,0.624741,24.86138,0.481679,11.048988,0.254819,13.408397,0.235963,10.14024,0.203645,158.211673,0.610181,73.17665,0.240676
22.229407,0.592144,25.307048,0.53074,11.245924,0.417357,13.632939,0.1101,10.573381,0.043729,158.879221,0.097288,74.002745,0.270604
23.555425,0.47737,26.173534,0.502853,11.484611,0.230783,14.535384,0.470711,10.789577,0.059857,159.108316,0.509113,74.126824,0.318954
23.965669,0.333131,26.825286,0.32788,11.669415,0.495487,14.761557,0.400143,11.01234,0.025766,159.7693,0.063958,74.264786,0.25594
25.277042,0.628691,27.478161,0.524019,11.900611,0.2184,14.983775,0.401208,11.376537,0.075203,160.0051,0.45926,74.409388,0.279621
25.712354,0.631724,28.340907,0.468829,12.115759,0.378165,15.417713,0.448667,11.461544,0.033112,160.449185,0.082057,74.566905,0.337304
26.849391,0.367762,28.788227,0.523143,12.322816,0.198962,15.87097,0.268576,11.552834,0.319601,160.674759,0.072781,74.768017,0.456019
27.038298,0.534006,29.637579,0.659416,12.546185,0.212193,16.083842,0.140792,11.675246,0.492263,160.887933,0.519546,74.922487,0.484372
27.46252,0.425888,30.269314,0.692954,12.809755,0.379818,16.312668,0.240279,11.911308,0.628722,161.321959,0.077409,75.15522,0.179468
28.767004,0.545647,30.913581,0.610923,13.036559,0.111125,16.752923,0.264913,12.144362,0.037971,161.76596,0.558292,75.343394,0.268094
29.183671,0.62659,31.784572,0.715876,13.242347,0.146385,16.958215,0.429029,12.34959,0.214339,162.222815,0.067663,75.509038,0.441781
30.229229,0.508776,32.219597,0.735099,13.444127,0.595716,17.190243,0.103722,12.780901,0.024431,162.455715,0.089943,75.740744,0.77796
30.894122,0.403898,33.084295,0.673376,13.671309,0.364001,17.624435,0.22726,13.680061,0.156905,162.676323,0.617171,75.957032,0.252445
32.197634,0.661321,33.728032,0.590704,14.083877,0.42317,18.075777,0.504122,14.112013,0.137463,162.905095,0.559574,76.362463,0.298183
32.62799,0.635203,34.358431,0.59156,14.339426,0.235244,18.291769,0.200759,14.336517,0.250932,163.133467,0.086482,76.669518,0.27226
33.939142,0.542269,35.255185,0.540022,14.555826,0.129166,18.513001,0.458616,14.550524,0.031348,163.354229,0.098582,76.928238,0.289941
34.350326,0.390245,35.694841,0.697772,14.78191,0.454277,18.934562,0.548738,15.000582,0.307082,163.590238,0.577031,77.139543,0.337007
35.677242,0.671221,36.53323,0.513492,14.987922,0.19971,19.397612,0.257631,15.211354,0.497846,164.025136,0.07962,77.35376,0.295627
36.082165,0.660049,37.171622,0.628574,15.211848,0.67221,19.81939,0.420872,15.863298,0.594302,164.259845,0.087866,77.501367,0.219142
37.368296,0.506375,37.831909,0.644097,15.450045,0.403876,20.266278,0.12271,16.079403,0.525556,164.483691,0.652344,77.645019,0.223021
37.76909,0.38764,38.691559,0.513788,15.902162,0.44952,20.4744,0.228407,16.760353,0.027852,164.91975,0.067042,77.799257,0.176956
39.092974,0.710416,39.118311,0.682156,16.123999,0.161384,20.7095,0.228832,17.192408,0.214122,165.377067,0.651887,77.947544,0.21554
39.513641,0.707584,39.976633,0.726193,16.330168,0.396425,21.141263,0.146131,17.467261,0.3855,165.806938,0.093862,78.139639,0.671859
40.843321,0.539366,40.626969,0.471811,16.76859,0.143609,21.568151,0.178642,17.768642,0.450715,166.035681,0.113341,78.347731,0.64196
41.238324,0.343699,41.251775,0.49319,16.967033,0.713716,21.778774,0.363324,18.056204,0.46475,166.264623,0.627288,78.494377,0.283332
42.573222,0.520083,42.120592,0.252207,17.187826,0.113536,22.432422,0.466697,18.929458,0.236808,166.938172,0.089379,78.614052,0.555106
42.980501,0.625291,42.560136,0.259795,17.657502,0.283597,22.886072,0.164215,19.622332,0.081389,167.147144,0.626793,79.725603,0.346013
44.302981,0.521335,43.415301,0.256122,18.136579,0.16711,23.319543,0.216258,20.259168,0.181259,167.587228,0.0612,79.912749,0.730257
44.672673,0.387869,44.064154,0.302515,18.316141,0.614881,23.767253,0.13199,20.469918,0.459035,167.823902,0.102027,80.036945,0.754637
46.005854,0.549561,44.701605,0.394538,18.744037,0.77944,23.977224,0.393857,20.7011,0.01635,168.043143,0.533552,80.144384,0.605692
46.401023,0.643711,45.579164,0.291112,18.99242,0.165254,24.870866,0.141452,21.143017,0.124103,168.485362,0.067877,80.362011,0.733542
47.527934,0.386211,46.030806,0.331322,19.209716,0.132002,25.068174,0.470675,21.593951,0.019669,168.939267,0.688618,80.475105,0.730055
47.723528,0.612347,46.900368,0.355725,19.40159,0.245953,25.277471,0.398259,21.814004,0.052716,169.617883,0.093367,80.585703,0.550107
48.157893,0.441161,47.528092,0.333793,19.623877,0.268505,25.54259,0.121646,22.031749,0.021459,169.845366,0.537865,80.695385,0.466943
49.423303,0.520997,48.165247,0.344316,19.845686,0.339297,25.943982,0.398867,22.228582,0.032623,170.061047,0.536215,80.796554,0.671232
49.849944,0.658638,49.026315,0.290899,20.077259,0.146405,26.373598,0.186804,22.453864,0.208306,170.289157,0.106352,80.923074,0.609474
51.180244,0.440139,49.46969,0.265692,20.258851,0.126091,26.59409,0.529229,22.891124,0.015708,170.516501,0.126828,81.028426,0.443121
51.622444,0.491146,50.328736,0.31938,20.46381,0.71119,26.801051,0.192013,23.111354,0.054563,170.735618,0.658344,81.217416,0.608425
51.836683,0.292222,50.981896,0.287042,20.703207,0.280489,27.022331,0.278314,23.655962,0.020768,171.202343,0.067369,81.338018,0.63299
52.874092,0.64611,51.613157,0.306851,21.128385,0.379554,27.232551,0.12558,23.74599,0.025795,171.4285,0.132503,81.449554,0.358029
53.313174,0.646966,52.461149,0.290117,21.813802,0.350621,27.433971,0.321255,23.84941,0.177403,171.6497,0.655047,82.298387,0.326964
54.623011,0.5495,52.903912,0.259586,22.259473,0.437637,27.670817,0.108431,23.970486,0.187952,172.5174,0.625248,82.503674,0.600781
55.018241,0.383288,53.777945,0.453606,22.505131,0.146097,27.921228,0.354628,24.191614,0.311088,173.175613,0.086418,82.624423,0.58275
56.360253,0.676038,54.422751,0.464609,22.882753,0.277481,28.2199,0.120162,24.631226,0.275431,173.399798,0.611326,82.731106,0.44769
56.773968,0.655868,55.060974,0.369868,23.151263,0.242354,28.544183,0.1181,25.078641,0.023994,174.072996,0.092617,82.940285,0.4811
58.078229,0.571141,55.905285,0.436369,23.380834,0.112973,28.788671,0.223108,25.311037,0.053522,174.29706,0.530627,83.066283,0.424115
58.508447,0.405908,56.356477,0.413216,23.613999,0.155066,29.20388,0.247457,25.527791,0.038814,174.970738,0.107443,83.179526,0.156582
59.822629,0.724765,57.218097,0.378871,23.977524,0.578896,29.420409,0.287292,25.957845,0.233115,175.197598,0.733028,84.142064,0.421923
60.222656,0.723398,57.864456,0.34164,24.250176,0.127798,29.838869,0.122888,26.395646,0.033531,175.619851,0.115799,84.253068,0.596272
60.851041,0.429578,58.505459,0.345939,24.62998,0.366577,30.226237,0.206733,26.60719,0.055506,176.07829,0.701594,84.371312,0.721939
61.05091,0.612667,59.375337,0.359558,24.872005,0.28747,30.89963,0.208292,26.833651,0.066833,176.524927,0.073625,84.482651,0.473678
61.304155,0.662937,59.820484,0.40166,25.091246,0.214315,32.214455,0.12989,27.077817,0.394657,176.765473,0.133471,84.597768,0.379152
61.492364,0.292183,60.669324,0.410215,25.32623,0.532092,32.632226,0.240021,27.371533,0.402942,176.983722,0.560738,84.699387,0.645513
61.95463,0.399414,61.328317,0.508305,25.740527,0.715286,32.850276,0.179381,27.675867,0.530022,177.185041,0.445136,84.830355,0.531155
63.271558,0.861978,61.969608,0.664342,25.975268,0.181894,33.688646,0.166577,28.283601,0.05282,177.430553,0.104172,85.801127,0.369181
63.70645,0.74539,62.840744,0.41063,26.399865,0.21495,34.340483,0.137123,28.526123,0.035604,177.66162,0.138805,85.987598,0.577425
64.788833,0.532725,63.281679,0.445536,26.593831,0.210022,34.549256,0.108116,28.746539,0.063812,177.889784,0.491901,86.116307,0.609695
64.973792,0.579116,64.161278,0.396979,26.847304,0.391456,34.999529,0.155484,28.977198,0.03675,178.338994,0.093809,86.231336,0.567329
65.413054,0.46351,64.792639,0.324342,27.088471,0.248901,35.444624,0.137383,29.197405,0.018502,178.571406,0.1412,86.447042,0.566055
66.491923,0.609825,65.426634,0.350927,27.301363,0.113702,35.884461,0.296293,29.411962,0.268257,178.797114,0.71972,86.600363,0.572505
66.689278,0.766883,66.292241,0.296088,27.494382,0.661329,36.084657,0.287713,30.047922,0.082217,179.236645,0.103706,86.847647,0.386046
