Piece,Label SD,SD,Clave_?,Section,Clave,Bass ,Guitar,Tres,Bongo,Bell,Cajon,Conga,Trumpet,Cl_Dens,Bs_Dens,Gt_Dens,Tr_Dens,Bn_Dens,Bl_Dens,Cj_Dens,Cn_Dens,Tm_Dens
Song_2,1:1,1,1,Son,,,,,,,,,,,,,,,,,,
Song_2,1:2,2,N,Son,,,5.281932,,,,,,,,,,,,,,,
Song_2,1:3,3,N,Son,,,5.480643,,5.477695,,,,,,,,,2,,,,
Song_2,1:4,4,2,Son,,5.714555,5.707537,5.730943,5.718635,,,,,,,,,2,,,,
Song_2,1:5,5,N,Son,,5.927078,5.939071,5.917083,5.926234,,,,,,,,,2.5,,,,
Song_2,1:6,6,N,Son,,,6.153243,6.144901,6.155149,,,,,,,,,2.5,,,,
Song_2,1:7,7,3,Son,,6.348096,6.354059,,6.354287,,,,,,,,,3,,,,
Song_2,1:8,8,N,Son,,,6.605737,6.587124,6.591264,,,,,,,3.5,2,3,,,,
Song_2,1:9,9,N,Son,,,6.839689,,,,,,,,,4,,,,,,
Song_2,1:10,10,N,Son,,,7.030598,7.019113,7.049004,,,,,,,4.5,2.5,3.5,,,,
Song_2,1:11,11,4,Son,7.28634,,7.247185,,7.266582,,,,,,,5,,4,,,,
Song_2,1:12,12,N,Son,,,7.486118,7.509693,7.474943,,,,,,,4.5,3,4.5,,,,
Song_2,1:13,13,5,Son,7.72558,7.688646,7.711805,7.724421,,,,,,,3.5,4.5,3.5,,,,,
Song_2,1:14,14,N,Son,,,7.93741,7.958183,7.937723,,,,,,,5,3,3.5,,,,
Song_2,1:15,15,N,Son,,8.144071,8.131612,,,,,,,,2.5,5,,,,,,
Song_2,1:16,16,N,Son,,,,,8.372463,,,,,,,,,3,,,,
Song_2,2:1,1,1,Son,8.607607,,8.599172,8.571167,,,,,,1.5,,4.5,3.5,,,,,
Song_2,2:2,2,N,Son,,,8.803476,,8.795311,,,,,,,4.5,,3,,,,
Song_2,2:3,3,N,Son,,,9.031986,,8.995437,,,,,,,4,,3.5,,,,
Song_2,2:4,4,2,Son,9.261192,,9.271589,9.240644,,,,,,2,,4,3.5,,,,,
Song_2,2:5,5,N,Son,,9.467583,9.478042,,,,,,,,1.5,4.5,,,,,,
Song_2,2:6,6,N,Son,,,9.67211,9.669264,9.687925,,,,,,,4.5,3.5,2.5,,,,
Song_2,2:7,7,3,Son,9.925888,9.895688,9.888375,9.884393,,,,,,1.5,1.5,4.5,3.5,,,,,
Song_2,2:8,8,N,Son,,,10.150941,10.092997,10.14024,,,,,,,4,3.5,2.5,,,,
Song_2,2:9,9,N,Son,,,10.366553,10.3193,,,,,,,,4.5,3.5,,,,,
Song_2,2:10,10,N,Son,,,10.573985,10.527588,10.573381,,,,,,,5,4,2.5,,,,
Song_2,2:11,11,4,Son,10.803546,,10.79683,10.749578,10.789577,,,,,1.5,,5,4,3,,,,
Song_2,2:12,12,N,Son,,,11.048988,10.983529,11.01234,,,,,,,4.5,4,2.5,,,,
Song_2,2:13,13,5,Son,11.23841,11.236395,11.245924,11.253509,,,,,,2,2,5,4,,,,,
Song_2,2:14,14,N,Son,,,11.484611,,11.461544,,,,,,,4.5,,3.5,,,,
Song_2,2:15,15,N,Son,,11.675659,11.669415,,11.675246,,,,,,2,5,,4.5,,,,
Song_2,2:16,16,N,Son,,,11.900611,11.840994,11.911308,,,,,,,4.5,4.5,4.5,,,,
Song_2,3:1,1,1,Son,12.123741,,12.115759,,12.144362,,,,,1.5,,5,,4.5,,,,
Song_2,3:2,2,N,Son,,,12.322816,12.2988,12.34959,,,,,,,5,4,5,,,,
Song_2,3:3,3,N,Son,,,12.546185,,,,,,,,,5,,,,,,
Song_2,3:4,4,2,Son,12.80102,,12.809755,12.756969,12.780901,,,,,2,,4.5,3,5,,,,
Song_2,3:5,5,N,Son,,13.012866,13.036559,,,,,,,,1.5,5,,,,,,
Song_2,3:6,6,N,Son,,,13.242347,13.178399,,,,,,,,5,3,,,,,
Song_2,3:7,7,3,Son,13.456759,13.436662,13.444127,13.408397,,,,,,1.5,1.5,5,3,,,,,
Song_2,3:8,8,N,Son,,,13.671309,13.632939,13.680061,,,,,,,4.5,3,2.5,,,,
Song_2,3:9,9,N,Son,,,,,,,,,,,,,,,,,,
Song_2,3:10,10,N,Son,,,14.083877,,14.112013,,,,,,,4.5,,2.5,,,,
Song_2,3:11,11,4,Son,14.331366,,14.339426,,14.336517,,,,,1.5,,4,,2.5,,,,
Song_2,3:12,12,N,Son,,,14.555826,14.535384,14.550524,,,,,,,4,2.5,2.5,,,,
Song_2,3:13,13,5,Son,14.78588,14.779534,14.78191,14.761557,,,,,,2,1.5,4.5,2.5,,,,,
Song_2,3:14,14,N,Son,,,14.987922,14.983775,15.000582,,,,,,,4.5,3,2.5,,,,
Song_2,3:15,15,N,Son,,15.213903,15.211848,,15.211354,,,,,,1.5,4.5,,3,,,,
Song_2,3:16,16,N,Son,,,15.450045,15.417713,,,,,,,,4,2.5,,,,,
Song_2,4:1,1,1,Son,15.673018,,,,,,,,,1.5,,,,,,,,
Song_2,4:2,2,N,Son,,,15.902162,15.87097,15.863298,,,,,,,4,2.5,3,,,,
Song_2,4:3,3,N,Son,,,16.123999,16.083842,16.079403,,,,,,,4,3,3.5,,,,
Song_2,4:4,4,2,Son,16.318679,16.3274,16.330168,16.312668,,,,,,2,1.5,4.5,3.5,,,,,
Song_2,4:5,5,N,Son,,16.521603,,,,,,,,,2,,,,,,,
Song_2,4:6,6,N,Son,,,16.76859,16.752923,16.760353,,,,,,,4,3.5,2.5,,,,
Song_2,4:7,7,3,Son,16.984758,16.965014,16.967033,16.958215,,,,,,1.5,2,4,3.5,,,,,
Song_2,4:8,8,N,Son,,,17.187826,17.190243,17.192408,,,,,,,4,3.5,2.5,,,,
Song_2,4:9,9,N,Son,,,,,,,,,,,,,,,,,,
Song_2,4:10,10,N,Son,,,17.657502,17.624435,,,,,,,,3.5,3.5,,,,,
Song_2,4:11,11,4,Son,17.871598,,,,,,,,,1.5,,,,,,,,
Song_2,4:12,12,N,Son,,,18.136579,18.075777,18.056204,,,,,,,3,3.5,3,,,,
Song_2,4:13,13,5,Son,18.303867,18.284745,18.316141,18.291769,,,,,,2,2,3.5,3.5,,,,,
Song_2,4:14,14,N,Son,,,,18.513001,,,,,,,,,3.5,,,,,
Song_2,4:15,15,N,Son,,18.715426,18.744037,,,,,,,,1.5,3.5,,,,,,
Song_2,4:16,16,N,Son,,,18.99242,18.934562,18.929458,,,,,,,3,3.5,2.5,,,,
Song_2,5:1,1,1,Son,19.173597,,19.209716,,,,,,,1.5,,3,,,,,,
Song_2,5:2,2,N,Son,,,19.40159,19.397612,,,,,,,,3.5,3,,,,,
Song_2,5:3,3,N,Son,,,19.623877,,19.622332,,,,,,,4,,2,,,,
Song_2,5:4,4,2,Son,19.828665,19.803122,19.845686,19.81939,,,,,,2,1.5,4,3,,,,,
Song_2,5:5,5,N,Son,,20.012124,20.077259,,,,,,,,2,4.5,,,,,,
Song_2,5:6,6,N,Son,,,20.258851,20.266278,20.259168,,,,,,,4.5,3,1.5,,,,
Song_2,5:7,7,3,Son,20.480254,20.480944,20.46381,20.4744,20.469918,,,,,1.5,2,4.5,3,2,,,,
Song_2,5:8,8,N,Son,,,20.703207,20.7095,20.7011,,,,,,,5,3,2.5,,,,
Song_2,5:9,9,N,Son,,,,,,,,,,,,,,,,,,
Song_2,5:10,10,N,Son,,,21.128385,21.141263,21.143017,,,,,,,4.5,3,2.5,,,,
Song_2,5:11,11,4,Son,21.359685,,,,,,,,,1.5,,,,,,,,
Song_2,5:12,12,N,Son,,,,21.568151,21.593951,,,,,,,,3,3,,,,
Song_2,5:13,13,5,Son,21.812891,21.809162,21.813802,21.778774,21.814004,,,,,2,1.5,3.5,3.5,3,,,,
Song_2,5:14,14,N,Son,,,,,22.031749,,,,,,,,,3.5,,,,
Song_2,5:15,15,N,Son,,22.229407,22.259473,,22.228582,,,,,,1.5,2.5,,4,,,,
Song_2,5:16,16,N,Son,,,22.505131,22.432422,22.453864,,,,,,,2.5,3,4,,,,
Song_2,6:1,1,1,Son,22.686183,,,,,,,,,1.5,,,,,,,,
Song_2,6:2,2,N,Son,,,22.882753,22.886072,22.891124,,,,,,,2.5,2.5,3.5,,,,
Song_2,6:3,3,N,Son,,,23.151263,,23.111354,,,,,,,2.5,,4,,,,
Song_2,6:4,4,2,Son,23.333502,,23.380834,23.319543,,,,,,2,,3,2.5,,,,,
Song_2,6:5,5,N,Son,,23.555425,23.613999,,,,,,,,1.5,3.5,,,,,,
Song_2,6:6,6,N,Son,,,,23.767253,23.74599,,,,,,,,2.5,4,,,,
Song_2,6:7,7,3,Son,23.975765,23.965669,23.977524,23.977224,23.970486,,,,,1.5,1.5,3.5,2.5,4.5,,,,
Song_2,6:8,8,N,Son,,,24.250176,,24.191614,,,,,,,4,,4.5,,,,
Song_2,6:9,9,N,Son,,,,,,,,,,,,,,,,,,
Song_2,6:10,10,N,Son,,,24.62998,,24.631226,,,,,,,3.5,,4,,,,
Song_2,6:11,11,4,Son,24.86138,,24.872005,24.870866,,,,,,1.5,,4,2.5,,,,,
Song_2,6:12,12,N,Son,,,25.091246,25.068174,25.078641,,,,,,,4,2.5,4,,,,
Song_2,6:13,13,5,Son,25.307048,25.277042,25.32623,25.277471,25.311037,,,,,2,1.5,4,3,4,,,,
Song_2,6:14,14,N,Son,,,,25.54259,25.527791,,,,,,,,3,4.5,,,,
Song_2,6:15,15,N,Son,,25.712354,25.740527,,,,,,,,1.5,3.5,,,,,,
Song_2,6:16,16,N,Son,,,25.975268,25.943982,25.957845,,,,,,,4,3,3.5,,,,
Song_2,7:1,1,1,Son,26.173534,,,,,,,,,1.5,,,,,,,,
Song_2,7:2,2,N,Son,,,26.399865,26.373598,26.395646,,,,,,,3.5,3,3,,,,
Song_2,7:3,3,N,Son,,,26.593831,26.59409,26.60719,,,,,,,4,3.5,3.5,,,,
Song_2,7:4,4,2,Son,26.825286,26.849391,26.847304,26.801051,26.833651,,,,,2,1.5,4,4,3.5,,,,
Song_2,7:5,5,N,Son,,27.038298,27.088471,27.022331,,,,,,,2,4,4,,,,,
Song_2,7:6,6,N,Son,,,27.301363,27.232551,,,,,,,,4,4,,,,,
Song_2,7:7,7,3,Son,27.478161,27.46252,27.494382,27.433971,,,,,,1.5,2,4,4,,,,,
Song_2,7:8,8,N,Son,,,27.685418,27.670817,27.675867,,,,,,,4.5,4,3.5,,,,
Song_2,7:9,9,N,Son,,,27.93153,27.921228,,,,,,,,4.5,4.5,,,,,
Song_2,7:10,10,N,Son,,,28.1325,,,,,,,,,4.5,,,,,,
Song_2,7:11,11,4,Son,28.340907,,28.342034,,28.283601,,,,,1.5,,5,,3.5,,,,
Song_2,7:12,12,N,Son,,,28.596049,28.544183,28.526123,,,,,,,4.5,4.5,3.5,,,,
Song_2,7:13,13,5,Son,28.788227,28.767004,28.797864,28.788671,28.746539,,,,,2,2,5,4.5,3.5,,,,
Song_2,7:14,14,N,Son,,,29.01775,,28.977198,,,,,,,5,,3.5,,,,
Song_2,7:15,15,N,Son,,29.183671,29.232718,29.20388,29.197405,,,,,,1.5,5,4,3.5,,,,
Song_2,7:16,16,N,Son,,,29.464849,29.420409,29.411962,,,,,,,5,4,3.5,,,,
Song_2,8:1,1,1,Son,29.637579,,29.648995,,,,,,,1.5,,5,,,,,,
Song_2,8:2,2,N,Son,,,29.839766,29.838869,,,,,,,,5,3.5,,,,,
Song_2,8:3,3,N,Son,,,30.071941,,30.047922,,,,,,,5,,3.5,,,,
Song_2,8:4,4,2,Son,30.269314,30.229229,30.267539,30.226237,30.281135,,,,,2,1.5,5,3,4,,,,
Song_2,8:5,5,N,Son,,,30.495294,,,,,,,,,5,,,,,,
Song_2,8:6,6,N,Son,,,,,30.680271,,,,,,,,,3.5,,,,
Song_2,8:7,7,3,Son,30.913581,30.894122,30.873653,30.89963,30.887599,,,,,1.5,1.5,4.5,2.5,3.5,,,,
Song_2,8:8,8,N,Son,,,,,,,,,,,,,,,,,,
Song_2,8:9,9,N,Son,,,,,31.360902,,,,,,,,,3,,,,
Song_2,8:10,10,N,Son,,,,,,,,,,,,,,,,,,
Song_2,8:11,11,4,Son,31.784572,,,,31.779883,,,,,1.5,,,,3,,,,
Song_2,8:12,12,N,Son,,,,,32.004222,,,,,,,,,3.5,,,,
Song_2,8:13,13,5,Son,32.219597,32.197634,32.234858,32.214455,32.213816,,,,,2,1.5,3,1.5,3.5,,,,
Song_2,8:14,14,N,Son,,,,,32.434926,,,,,,,,,3.5,,,,
Song_2,8:15,15,N,Son,,32.62799,32.612729,32.632226,32.645639,,,,,,1.5,2.5,1.5,4,,,,
Song_2,8:16,16,N,Son,,,32.883248,32.850276,32.877185,,,,,,,2.5,2,4,,,,
Song_2,9:1,1,1,Son,33.084295,,33.068216,,33.084995,,,,,1.5,,3,,4,,,,
Song_2,9:2,2,N,Son,,,33.267047,,33.297837,,,,,,,3,,4.5,,,,
Song_2,9:3,3,N,Son,,,33.475839,,33.500249,,,,,,,3,,4.5,,,,
Song_2,9:4,4,2,Son,33.728032,,33.716649,33.688646,33.719891,,,,,2,,3.5,2,5,,,,
Song_2,9:5,5,N,Son,,33.939142,33.927009,,33.936395,,,,,,1.5,4,,5,,,,
Song_2,9:6,6,N,Son,,,34.125361,,34.141706,,,,,,,4.5,,5,,,,
Song_2,9:7,7,3,Son,34.358431,34.350326,34.332263,34.340483,34.347591,,,,,1.5,1.5,4.5,2,5,,,,
Song_2,9:8,8,N,Son,,,34.559527,34.549256,34.577719,,,,,,,5,2.5,5,,,,
Song_2,9:9,9,N,Son,,,34.790765,,34.793478,,,,,,,5,,5,,,,
Song_2,9:10,10,N,Son,,,35.006585,34.999529,35.005754,,,,,,,5,2,5,,,,
Song_2,9:11,11,4,Son,35.255185,,35.223728,,35.218423,,,,,1.5,,5,,5,,,,
Song_2,9:12,12,N,Son,,,35.443095,35.444624,35.434623,,,,,,,5,2.5,5,,,,
Song_2,9:13,13,5,Son,35.694841,35.677242,35.691899,,35.649469,,,,,2,1.5,5,,5,,,,
Song_2,9:14,14,N,Son,,,,35.884461,35.868527,,,,,,,,2.5,5,,,,
Song_2,9:15,15,N,Son,,36.082165,36.11702,36.084657,36.076856,,,,,,1.5,4.5,3,5,,,,
Song_2,9:16,16,N,Son,,,36.353654,36.306662,36.295263,,,,,,,4,3.5,5,,,,
Song_2,10:1,1,1,Son,36.53323,,36.547636,,36.516572,,,,,1.5,,4.5,,5,,,,
Song_2,10:2,2,N,Son,,,36.737879,,36.728985,,,,,,,4.5,,5,,,,
Song_2,10:3,3,N,Son,,,36.96194,36.948113,36.942903,,,,,,,4.5,3,5,,,,
Song_2,10:4,4,2,Son,37.171622,,37.20317,37.168812,37.16865,,,,,2,,4.5,3,5,,,,
