Frame,Time,X,Y
0,0,171,165
1,0.04,170.984334,164.980458
2,0.08,170.939877,164.866094
3,0.12,170.894734,164.655535
4,0.16,170.845532,164.58535
5,0.2,170.784915,164.426721
6,0.24,170.798494,164.405212
7,0.28,170.786651,164.229226
8,0.32,170.737239,164.156001
9,0.36,170.785438,164.049349
10,0.4,170.741733,163.986824
11,0.44,170.739683,163.872662
12,0.48,170.753877,163.822666
13,0.52,170.754997,163.73984
14,0.56,170.752812,163.693087
15,0.6,170.74401,163.66524
16,0.64,170.729416,163.664013
17,0.68,170.76478,163.638224
18,0.72,170.752571,163.637891
19,0.76,170.747278,163.667029
20,0.8,170.74342,163.652194
21,0.84,170.751557,163.643341
22,0.88,170.764608,163.71428
23,0.92,170.764531,163.69982
24,0.96,170.780386,163.705781
25,1,170.765702,163.697326
26,1.04,170.757567,163.69802
27,1.08,170.771522,163.674365
28,1.12,170.772696,163.67086
29,1.16,170.776021,163.669099
30,1.2,170.775559,163.677952
31,1.24,170.76699,163.661303
32,1.28,170.774021,163.657134
33,1.32,170.761183,163.65812
34,1.36,170.764458,163.706343
35,1.4,170.760111,163.692554
36,1.44,170.751385,163.707721
37,1.48,170.758863,163.71726
38,1.52,170.756271,163.704744
39,1.56,170.772651,163.71864
40,1.6,170.764257,163.715643
41,1.64,170.766758,163.69781
42,1.68,170.780006,163.694201
43,1.72,170.782273,163.672445
44,1.76,170.788219,163.680935
45,1.8,170.772042,163.644406
46,1.84,170.761849,163.722056
47,1.88,170.77828,163.689583
48,1.92,170.776313,163.718981
49,1.96,170.770303,163.705664
50,2,170.770088,163.710612
51,2.04,170.78721,163.689905
52,2.08,170.774589,163.697414
53,2.12,170.786223,163.692255
54,2.16,170.8021,163.726893
55,2.2,170.815071,163.715473
56,2.24,170.82152,163.726105
57,2.28,170.835206,163.712324
58,2.32,170.878553,163.833242
59,2.36,170.87565,163.794746
60,2.4,170.861132,163.839066
61,2.44,170.859483,163.79965
62,2.48,170.867915,163.822474
63,2.52,170.854356,163.835306
64,2.56,170.832312,163.860828
65,2.6,170.819633,163.897534
66,2.64,170.809063,163.952263
67,2.68,170.786402,163.965375
68,2.72,170.715741,164.004502
69,2.76,170.695245,164.023952
70,2.8,170.697705,164.096306
71,2.84,170.677151,164.102823
72,2.88,170.675848,164.167512
73,2.92,170.670688,164.178631
74,2.96,170.591891,164.224221
75,3,170.568643,164.269723
76,3.04,170.491496,164.286979
77,3.08,170.296811,164.322013
78,3.12,169.903304,164.364914
79,3.16,169.355679,164.344578
80,3.2,168.747551,164.305604
81,3.24,168.373619,164.364119
82,3.28,168.272729,164.49321
83,3.32,168.335563,164.524879
84,3.36,168.370798,164.592053
85,3.4,168.393257,164.557533
86,3.44,168.420883,164.560493
87,3.48,168.456539,164.561806
88,3.52,168.480959,164.569052
89,3.56,168.572478,164.54296
90,3.6,168.627769,164.566575
91,3.64,168.677351,164.514903
92,3.68,168.723967,164.472576
93,3.72,168.725881,164.488064
94,3.76,168.730223,164.520038
95,3.8,168.640396,164.431228
96,3.84,168.500911,164.327106
97,3.88,168.239283,164.152044
98,3.92,167.887337,164.12068
99,3.96,167.616202,164.338303
100,4,167.190278,164.966552
101,4.04,166.965497,165.55893
102,4.08,166.91123,165.859809
103,4.12,166.601204,165.572283
104,4.16,166.516179,165.306654
105,4.2,166.485512,165.179209
106,4.24,166.337103,165.190888
107,4.28,166.249289,165.062124
108,4.32,166.153414,165.105672
109,4.36,166.082427,164.966059
110,4.4,165.982217,164.96423
111,4.44,165.880331,164.925471
112,4.48,165.734032,164.924377
113,4.52,165.507419,165.007665
114,4.56,165.176213,165.192014
115,4.6,164.734509,165.554786
116,4.64,164.388981,166.288205
117,4.68,164.128054,166.83291
118,4.72,163.702637,167.106729
119,4.76,163.132346,167.099209
120,4.8,162.257719,167.293035
121,4.84,160.828078,167.272234
122,4.88,159.524184,167.218498
123,4.92,158.544353,167.51444
124,4.96,158.188762,167.446142
125,5,158.173981,167.412576
126,5.04,158.158446,167.463695
127,5.08,158.185481,167.475246
128,5.12,158.218441,167.44043
129,5.16,158.237755,167.48039
130,5.2,158.273265,167.573254
131,5.24,158.301184,167.571897
132,5.28,158.305973,167.597629
133,5.32,158.308105,167.596606
134,5.36,158.311223,167.596173
135,5.4,158.321487,167.584869
136,5.44,158.337546,167.601616
137,5.48,158.343744,167.616213
138,5.52,158.384821,167.607829
139,5.56,158.410545,167.632851
140,5.6,158.40504,167.664543
141,5.64,158.446944,167.671606
142,5.68,158.461647,167.768646
143,5.72,158.437534,167.732936
144,5.76,158.437368,167.753782
145,5.8,158.413746,167.711804
146,5.84,158.396049,167.734084
147,5.88,158.376254,167.721245
148,5.92,158.369797,167.732771
149,5.96,158.376347,167.727531
150,6,158.388613,167.766732
151,6.04,158.384526,167.728983
152,6.08,158.391478,167.715707
153,6.12,158.402827,167.677028
154,6.16,158.407414,167.641406
155,6.2,158.391171,167.504246
156,6.24,158.56183,167.295737
157,6.28,158.666971,167.173494
158,6.32,158.677524,167.213589
159,6.36,158.628225,167.134304
160,6.4,158.567077,167.119591
161,6.44,158.523658,167.095223
162,6.48,158.497008,167.108846
163,6.52,158.493908,167.092894
164,6.56,158.502973,167.092212
165,6.6,158.576198,167.149699
166,6.64,158.612608,167.323977
167,6.68,158.611656,167.357942
168,6.72,158.513245,167.465781
169,6.76,158.391807,167.40481
170,6.8,158.29747,167.395231
171,6.84,158.278353,167.348613
172,6.88,158.299233,167.391499
173,6.92,158.29834,167.418334
174,6.96,158.288548,167.494096
175,7,158.296664,167.502978
176,7.04,158.319489,167.449795
177,7.08,158.1231,167.243308
178,7.12,157.065949,166.979892
179,7.16,155.916017,167.218543
180,7.2,155.486789,167.409532
181,7.24,155.372696,167.457305
182,7.28,155.292147,167.404686
183,7.32,155.232829,167.307245
184,7.36,155.215645,167.319355
185,7.4,155.223021,167.350496
186,7.44,155.219961,167.385031
187,7.48,155.188141,167.304011
188,7.52,155.164881,167.274537
189,7.56,155.148403,167.22959
190,7.6,155.117259,167.203071
191,7.64,155.11864,167.173545
192,7.68,155.137836,167.163485
193,7.72,155.136308,167.131485
194,7.76,155.140174,167.145786
195,7.8,155.145001,167.116945
196,7.84,155.184601,167.154332
197,7.88,155.319864,167.14369
198,7.92,155.561759,167.059869
199,7.96,156.254829,166.711037
