Frame,Time,X,Y
0,0,168,137
1,0.04,167.986233,137.00214
2,0.08,168.028986,137.017913
3,0.12,168.088279,137.000367
4,0.16,168.188549,137.032878
5,0.2,168.376842,137.010624
6,0.24,168.566701,137.033817
7,0.28,168.821674,136.970277
8,0.32,169.081859,136.975428
9,0.36,169.411461,136.926797
10,0.4,169.761551,136.907652
11,0.44,170.079012,136.834836
12,0.48,170.385642,136.879053
13,0.52,170.686031,136.796551
14,0.56,170.981125,136.8332
15,0.6,171.197893,136.78528
16,0.64,171.385018,136.763283
17,0.68,171.60928,136.747969
18,0.72,171.734956,136.745407
19,0.76,171.835079,136.686614
20,0.8,171.843015,136.652824
21,0.84,171.900564,136.626754
22,0.88,171.978844,136.656957
23,0.92,171.973101,136.615069
24,0.96,171.986656,136.634715
25,1,171.974587,136.618016
26,1.04,171.974574,136.613529
27,1.08,171.94358,136.615474
28,1.12,171.860066,136.611785
29,1.16,171.867091,136.606214
30,1.2,171.784789,136.615025
31,1.24,171.735947,136.586505
32,1.28,171.702214,136.58045
33,1.32,171.646183,136.553486
34,1.36,171.472487,136.589295
35,1.4,171.434,136.564047
36,1.44,171.390621,136.594993
37,1.48,171.363961,136.57813
38,1.52,171.342563,136.584858
39,1.56,171.305046,136.553844
40,1.6,171.231771,136.546333
41,1.64,171.231541,136.52208
42,1.68,171.162109,136.54725
43,1.72,171.091909,136.504039
44,1.76,171.0685,136.494802
45,1.8,170.987613,136.451445
46,1.84,170.831288,136.470783
47,1.88,170.747563,136.433375
48,1.92,170.682793,136.479198
49,1.96,170.559619,136.461362
50,2,170.464073,136.482769
51,2.04,170.335397,136.461739
52,2.08,170.210128,136.496083
53,2.12,170.168575,136.493611
54,2.16,170.100795,136.524493
55,2.2,169.971066,136.452034
56,2.24,169.945445,136.451786
57,2.28,169.852947,136.415729
58,2.32,169.706368,136.444889
59,2.36,169.603086,136.394524
60,2.4,169.587003,136.411275
61,2.44,169.606552,136.364022
62,2.48,169.668519,136.319307
63,2.52,169.964562,136.277435
64,2.56,170.258689,136.442946
65,2.6,170.597106,136.775951
66,2.64,170.615929,137.431269
67,2.68,170.782436,138.358297
68,2.72,171.158591,139.686894
69,2.76,171.40391,140.727391
70,2.8,171.42778,141.749402
71,2.84,171.259986,142.443815
72,2.88,170.805054,143.109836
73,2.92,170.364227,143.5032
74,2.96,169.930327,144.127217
75,3,169.772951,144.473874
76,3.04,169.655578,144.875513
77,3.08,169.72654,145.130685
78,3.12,170.018144,145.322364
79,3.16,170.408928,145.245987
80,3.2,170.97787,145.221419
81,3.24,171.533183,144.99863
82,3.28,172.322249,144.799694
83,3.32,173.2579,144.368456
84,3.36,174.24255,144.025038
85,3.4,175.442653,143.538791
86,3.44,176.796439,143.151676
87,3.48,178.32982,142.394835
88,3.52,179.897911,141.587011
89,3.56,181.490442,140.514162
90,3.6,182.96761,139.512206
91,3.64,184.35168,138.378971
92,3.68,185.68894,137.435848
93,3.72,186.921077,136.485231
94,3.76,187.911549,136.012133
95,3.8,188.703232,135.492252
96,3.84,189.426152,135.467989
97,3.88,189.9494,135.427813
98,3.92,190.109202,135.451191
99,3.96,190.057234,135.391416
100,4,189.784516,135.444404
101,4.04,189.441875,135.334636
102,4.08,188.918002,135.400362
103,4.12,188.22353,135.319725
