Bass,Bass peak,Clave,Clave peak,Guitar,Guitar peak,Tres,Tres peak,Bongos,Bongos peak,Bell,Bell peak,Conga,Conga peak
8.637929,0.883132,1.328956,0.173567,11.812296,0.21558,10.511382,0.590531,16.640834,0.018017,404.212871,0.040862,32.550452,0.08027
9.022925,0.50923,1.883131,0.154332,12.132867,0.108371,32.90924,0.067109,16.872238,0.020523,404.339942,0.017458,32.776743,0.129711
9.212925,1.000337,2.259942,0.155058,32.419983,0.370692,33.867264,0.057769,18.089242,0.023039,404.484657,0.231562,32.949373,0.12952
9.764693,0.608871,2.577327,0.146879,32.891528,0.119129,41.522511,0.064099,21.06525,0.018511,405.015991,0.01961,34.687348,0.177048
9.970414,0.297442,3.102112,0.127756,41.027776,0.330749,42.046681,0.083496,21.309733,0.015768,405.219709,0.028955,34.914248,0.20382
23.649289,0.276525,3.5019,0.185842,49.609467,0.309324,42.437532,0.055371,24.236052,0.01996,405.496559,0.147015,35.084641,0.195784
23.853385,0.286196,4.051325,0.165687,50.039201,0.145825,50.133018,0.085359,25.415093,0.016711,405.627667,0.02623,36.84861,0.148265
32.619835,0.505667,4.451862,0.137857,59.162304,0.334239,50.698904,0.050692,25.66661,0.024689,405.729614,0.07422,37.068659,0.164909
32.822981,0.303793,4.771678,0.143702,59.415373,0.258202,51.113831,0.073692,29.796681,0.021046,405.867202,0.058897,37.24615,0.194041
40.826425,0.391018,5.313674,0.138614,59.713177,0.248841,59.219873,0.059654,30.035136,0.019607,406.122374,0.015906,38.979647,0.098072
41.008733,0.531418,5.70859,0.139999,59.956773,0.106375,59.599258,0.076507,32.926391,0.017056,406.233108,0.033948,39.214035,0.168833
41.191794,0.312937,6.287152,0.153514,60.197424,0.132095,62.973558,0.088829,34.16879,0.017138,406.374464,0.031073,39.381664,0.1531
41.543757,0.411628,6.557091,0.028724,61.810206,0.103836,66.622383,0.061127,34.410504,0.034808,406.495642,0.084908,41.107672,0.088838
48.55165,0.277406,6.690226,0.122147,63.395252,0.274016,66.859012,0.051999,37.264626,0.015782,407.04044,0.016911,41.33508,0.128623
49.096161,0.377859,6.994753,0.15602,63.667712,0.301268,68.081284,0.059101,38.45664,0.016225,407.255232,0.025371,41.505709,0.1603
49.444066,0.300604,7.546035,0.184363,64.429591,0.195235,68.293997,0.054676,38.700851,0.015889,407.533897,0.119176,43.26602,0.147802
49.631254,0.391569,7.942344,0.153097,64.953761,0.132038,68.642439,0.064753,42.982385,0.024951,407.654991,0.028408,43.498843,0.134242
50.015268,0.331256,8.488921,0.097072,68.946229,0.106674,68.773215,0.066332,47.0812,0.016029,408.037923,0.032553,43.668435,0.169212
50.193464,0.49271,8.883314,0.123346,69.276702,0.12671,68.916474,0.055058,47.320659,0.027897,408.278468,0.04871,45.425742,0.14495
50.378396,0.295564,9.19197,0.168512,69.785772,0.154168,69.195633,0.059354,51.614736,0.017735,408.540996,0.214616,45.662644,0.134445
57.25889,0.347753,9.748964,0.154882,70.46905,0.113328,69.354006,0.059422,58.717707,0.402661,409.049519,0.018157,45.838282,0.139393
57.512289,0.292637,10.152899,0.07579,71.839277,0.10898,73.929383,0.090593,58.97271,0.075572,409.147538,0.01553,47.61915,0.08973
58.527999,0.292731,10.402485,0.039925,73.982997,0.127096,75.752592,0.051501,59.284785,0.036315,409.272859,0.034004,47.841976,0.128463
58.754332,0.501261,10.70881,0.120327,74.345781,0.126249,76.037486,0.136972,59.659954,0.104026,409.395618,0.017479,48.01212,0.166955
