Cycle,Time
1,9.54
2,12.24533333
3,14.952
4,17.65866667
5,20.33066667
6,23.03733333
7,25.75466667
8,28.436
9,31.13066667
10,33.864
11,36.60266667
12,39.28
13,41.96533333
14,44.688
15,47.432
16,50.18133333
17,52.90933333
18,55.63847917
19,58.376
20,61.05183333
21,63.76
22,66.496
23,69.216
24,71.952
25,74.728
26,77.424
27,80.15375
28,82.94666667
29,85.656
30,88.41066667
31,91.14133333
32,93.92533333
33,96.66133333
34,99.416
35,102.1386667
36,104.912
37,107.6826667
38,110.424
39,113.168
40,115.9626667
41,118.7466667
42,121.4853333
43,124.2362708
44,126.9973333
45,129.7653333
46,132.5733333
47,135.3306667
48,138.1066667
49,140.8773333
50,143.6613333
51,146.3733333
52,149.1458542
53,151.9413333
54,154.6986667
55,157.4693333
56,160.2266667
57,162.9946667
58,165.768
59,168.5573333
60,171.2986667
61,174.064
62,176.8346667
63,179.616
64,182.344
65,185.2106667
66,187.9653333
67,190.7386667
68,193.536
69,196.352
70,199.1466667
71,201.9466667
72,204.7386667
73,207.5546667
74,210.3386667
75,213.136
76,215.9493333
77,218.728
78,221.5573333
79,224.3653333
80,227.1893333
81,229.976875
82,232.768
83,235.5733333
84,238.3653333
85,241.168
86,243.9413333
87,246.7226667
88,249.5626667
89,252.384
90,255.1973333
91,257.9893333
92,260.7305625
93,263.4426667
94,266.2506667
95,269.0106667
96,271.7893333
97,274.6346667
98,277.416
99,280.2586667
100,283.0826667
101,285.9045417
102,288.728
103,291.5386667
104,294.328
105,297.1733333
106,299.9733333
107,302.7653333
108,305.624
109,308.44
110,311.2613333
111,313.343
