Bass,Bass peak,Guitar,Guitar peak,Tres,Tres peak,Bongos,Bongos peak,Bell,Bell peak,Cajon,Cajon peak,Conga,Conga peak,Trumpet,Trumpet peak
4.536073,0.69597,4.741231,0.313394,4.591017,0.132223,4.761432,0.068546,191.457402,0.668584,22.19534,0.841765,4.532701,0.132124,4.527397,0.267426
4.731599,0.657873,5.041959,0.225971,4.768649,0.172488,5.048086,0.026757,191.957833,0.133378,27.588861,0.590459,4.733889,0.512134,4.715586,0.28459
5.018014,0.650606,5.389987,0.181786,5.052322,0.131907,5.218821,0.028432,192.150045,0.430729,32.996868,0.906665,5.036596,0.187721,5.016971,0.621268
5.36259,0.671559,5.664076,0.326125,5.220023,0.172142,5.397464,0.064389,192.633866,0.032242,38.440969,0.440962,5.211371,0.210838,5.1829,0.233046
5.670626,0.853796,6.000395,0.205148,5.368599,0.230411,5.737466,0.085792,192.845243,0.47245,43.832472,0.654237,5.390606,0.52827,5.364932,0.558326
5.98696,0.911778,6.341834,0.379232,5.712506,0.307321,6.031926,0.053539,193.158925,0.10248,104.039851,0.439343,5.716967,0.524177,5.682872,0.580201
6.168549,0.450018,6.526296,0.248151,6.039642,0.227105,6.197989,0.106326,194.245008,0.459599,109.551905,0.760091,6.024857,0.460059,6.005174,0.583365
6.508606,0.744059,7.019509,0.264299,6.203374,0.08828,6.35704,0.150392,194.419533,0.017923,115.076843,0.590818,6.190419,0.387138,6.192846,0.728476
6.693725,0.279917,7.323866,0.401048,6.366723,0.144471,6.52914,0.098799,194.584629,0.102023,126.120616,0.488523,6.349282,0.538048,6.331431,0.409135
8.325166,0.522714,7.521882,0.239614,6.522722,0.333443,7.034087,0.024571,194.775343,0.098198,164.895709,0.596242,6.524631,0.39318,6.518955,0.166167
8.658192,0.660902,7.819256,0.259627,6.816775,0.156467,8.033384,0.024625,194.943183,0.427472,175.941116,0.597397,6.862385,0.032709,7.039924,0.346861
8.866753,0.390285,8.321288,0.334823,7.067206,0.2519,8.360652,0.015271,195.453389,0.081804,190.770859,0.049379,7.029992,0.101275,7.34519,0.371677
9.205162,0.833935,8.669278,0.359381,7.355179,0.244961,8.676642,0.036851,195.646256,0.387331,193.158012,0.240039,7.191551,0.102802,7.584384,0.289107
9.528039,0.560307,9.174016,0.60208,7.567271,0.163524,9.023035,0.040885,195.801173,0.024183,195.477468,0.593216,7.361908,0.02978,7.84315,0.288775
9.847294,0.835841,9.379059,0.397977,7.826944,0.106903,9.194307,0.049713,195.969373,0.110842,196.855042,0.734351,7.544228,0.023938,8.041721,0.217508
10.215806,0.794233,9.693977,0.29826,8.03695,0.149505,9.540555,0.166036,196.156046,0.104439,198.221169,0.5688,7.699889,0.044488,8.498413,0.2827
10.53277,0.758732,10.040686,0.307338,8.345377,0.280939,9.877245,0.019158,196.345185,0.553999,199.660473,0.683178,7.862333,0.109849,8.670572,0.223585
11.376319,0.845975,10.524541,0.546659,8.625963,0.073999,10.385936,0.044778,196.676686,0.049336,201.002074,0.762146,8.025965,0.081689,8.868189,0.361737
11.597599,0.284921,10.699669,0.11616,8.770203,0.132337,10.725257,0.109268,196.848479,0.046603,201.117008,0.021664,8.197736,0.016368,12.568716,0.174607
11.871834,0.585393,10.881909,0.386297,9.01738,0.11858,11.054533,0.016075,197.054865,0.560551,202.414171,0.754606,8.35356,0.069841,19.983644,0.154462
12.727725,0.444533,11.186078,0.285144,9.185379,0.166005,11.728618,0.028686,197.368518,0.112753,203.847087,0.799125,8.516184,0.106008,20.330038,0.189739
12.939419,0.43843,11.379756,0.284536,9.364446,0.105204,11.891762,0.134645,197.555155,0.113856,203.962206,0.019277,8.692755,0.049759,26.268879,0.184785
13.224257,0.499645,11.880611,0.671994,9.523104,0.250901,12.561215,0.724933,197.734341,0.462982,205.241688,0.786126,9.018422,0.364645,30.509227,0.157071
14.056275,0.757114,12.058264,0.157034,9.833519,0.073965,13.087561,0.02923,198.073642,0.023263,205.362033,0.017506,9.187391,0.528006,31.290538,0.160383
14.300504,0.717408,12.234367,0.189887,10.037557,0.137777,13.44229,0.220882,198.26474,0.054983,206.645793,0.820966,9.532856,0.59354,31.464905,0.167829
14.593714,0.596073,12.721215,0.365381,10.214179,0.112408,13.7715,0.034539,198.445183,0.433575,208.061368,0.6292,9.871232,0.132856,36.914478,0.154629
14.952994,0.506247,12.916973,0.210723,10.39681,0.135018,13.93979,0.085994,198.650291,0.016754,209.439208,0.737929,10.031634,0.017843,37.271915,0.166886
15.236953,0.69669,13.231281,0.3504,10.699682,0.230298,14.101717,0.017584,198.760675,0.113349,210.830824,0.783706,10.219041,0.035288,39.442536,0.166611
15.61097,0.648068,13.419131,0.316474,11.036389,0.076782,14.376164,0.058319,198.948992,0.092117,212.235587,0.863797,10.372053,0.21745,39.951123,0.174916
15.902523,0.504061,13.596823,0.286178,11.362183,0.080294,14.462016,0.105999,199.1417,0.510836,213.639316,0.742717,10.538843,0.035095,49.138701,0.19712
16.777924,0.675004,13.90733,0.370636,11.54391,0.106465,14.539253,0.246824,199.472098,0.025591,215.552034,0.708835,10.71756,0.433115,52.555811,0.156219
17.272066,0.656505,14.088596,0.279742,11.743835,0.071145,14.621823,0.20077,199.655844,0.043624,217.823232,0.822601,10.882659,0.01642,58.200791,0.163969
18.119885,0.462516,14.265891,0.189928,12.02135,0.21888,14.776855,0.236599,199.855914,0.540163,217.94398,0.019244,11.048864,0.068115,58.692945,0.186265
18.354985,0.594224,14.587087,0.430616,12.391995,0.269465,14.945889,0.227854,200.174659,0.103556,219.311897,0.068537,11.20573,0.104041,59.064286,0.167832
18.628484,0.413715,14.939863,0.349902,12.717104,0.257304,15.248133,0.289144,200.36695,0.123329,220.638481,0.77412,11.382703,0.053425,62.070154,0.165288
19.459156,0.704663,15.254083,0.378402,12.930121,0.227375,15.428856,0.054676,200.532554,0.433146,222.071622,0.700873,11.556327,0.028716,66.13309,0.179123
19.651751,0.297185,15.439313,0.275446,13.208733,0.09527,15.620765,0.086405,200.716137,0.017847,223.477061,0.781849,11.723855,0.278416,66.335689,0.207609
19.986095,0.510959,15.620568,0.191126,13.417557,0.12862,15.777719,0.037034,200.868007,0.027951,224.864374,0.665614,11.883156,0.550615,69.028612,0.17372
20.328998,0.426394,15.926397,0.430861,13.758611,0.242905,15.964161,0.038932,201.057343,0.090089,226.790916,0.88686,12.402215,0.048961,71.791445,0.201614
20.796704,0.603419,16.110357,0.283708,14.081547,0.229605,16.115114,0.258745,201.23605,0.457702,229.076253,0.824297,12.561752,0.221514,72.647203,0.196642
20.993267,0.378797,16.290578,0.175395,14.56913,0.113257,16.292532,0.059856,201.565202,0.098209,230.498033,0.792496,12.744517,0.019582,75.038884,0.183979
