Bass,Bass peak,Clave,Clave peak,Guitar,Guitar peak,Tres,Tres peak,Bongos,Bongos peak,Bell,Bell peak,Cajon,Cajon peak,Conga,Conga peak,Trumpet,Trumpet peak
6.199241,0.543418,6.168907,0.034288,6.02575,0.172616,3.011089,0.147321,6.170143,0.16667,115.113571,0.140278,116.403284,0.84502,4.449978,0.112835,6.899997,0.306372
6.520926,0.28126,8.483867,0.040864,6.176613,0.691146,3.254927,0.135225,7.317905,0.049027,115.238278,0.113528,118.442657,0.536145,4.560023,0.161652,7.110705,0.368342
6.862353,0.703159,8.619069,0.027213,6.329991,0.119301,3.514842,0.217479,7.469627,0.118009,115.401334,0.097411,120.415267,0.626092,4.699947,0.062649,7.310928,0.172707
7.294381,0.587726,9.775232,0.027598,6.465279,0.200827,3.661157,0.200179,7.896733,0.022162,115.671556,0.085618,121.629076,0.642288,4.836128,0.046812,7.479031,0.312148
7.650565,0.595617,10.929439,0.028391,6.763708,0.514138,3.894188,0.174903,8.351792,0.034853,115.951376,0.126266,122.799858,0.611909,4.967247,0.01972,7.76898,0.190128
8.044602,0.920154,11.349669,0.061274,6.924416,0.266484,4.038912,0.409692,8.478121,0.409205,116.094977,0.096273,123.944985,0.744941,5.098354,0.162715,8.045602,0.293959
8.459,0.585899,14.228566,0.025396,7.207312,0.326365,4.837058,0.282656,8.614799,0.090939,116.247944,0.272753,124.0662,0.016899,5.383055,0.757365,8.296728,0.229727
8.784261,0.565041,14.384053,0.028557,7.34024,0.384806,5.083639,0.326189,9.04625,0.080601,117.051246,1.000797,125.128918,0.883935,6.161342,0.872786,8.945571,0.275114
9.204563,0.887738,15.374124,0.044148,7.493678,0.244302,5.339682,0.323169,9.201291,0.073954,117.46669,0.156137,126.319595,0.611075,6.714601,0.085617,9.190667,0.412577
9.612369,0.561362,15.678676,0.054188,7.642666,0.12678,5.723615,0.208291,9.360069,0.047805,117.625553,0.634766,127.500338,0.673325,7.159613,0.04544,9.410312,0.49602
9.912396,0.414552,17.60535,0.034786,7.779855,0.307249,5.985656,0.190575,9.493378,0.031057,118.216542,0.358034,128.644175,0.664355,7.308748,0.238038,9.599278,0.18091
10.319995,0.785345,17.798783,0.026118,7.908986,0.553157,6.123232,0.443788,9.610428,0.123481,118.486675,0.163736,129.835916,0.741792,7.464959,0.417049,9.779045,0.369026
