,ioi,datafile,species,call_type,individual,bout
0,0.0435,C_persp_IC_p1_b1,Carollia perspicillata,IC,1,1
1,0.0439,C_persp_IC_p1_b1,Carollia perspicillata,IC,1,1
2,0.0234,C_persp_IC_p1_b1,Carollia perspicillata,IC,1,1
3,0.0366,C_persp_IC_p1_b1,Carollia perspicillata,IC,1,1
4,0.0413,C_persp_IC_p1_b2,Carollia perspicillata,IC,1,2
5,0.0401,C_persp_IC_p1_b2,Carollia perspicillata,IC,1,2
6,0.0384,C_persp_IC_p1_b2,Carollia perspicillata,IC,1,2
7,0.0448,C_persp_IC_p1_b3,Carollia perspicillata,IC,1,3
8,0.0448,C_persp_IC_p1_b3,Carollia perspicillata,IC,1,3
9,0.0448,C_persp_IC_p1_b3,Carollia perspicillata,IC,1,3
10,0.0243,C_persp_IC_p1_b3,Carollia perspicillata,IC,1,3
11,0.0396,C_persp_IC_p1_b4,Carollia perspicillata,IC,1,4
12,0.0409,C_persp_IC_p1_b4,Carollia perspicillata,IC,1,4
13,0.0418,C_persp_IC_p1_b4,Carollia perspicillata,IC,1,4
14,0.0401,C_persp_IC_p1_b5,Carollia perspicillata,IC,1,5
15,0.0396,C_persp_IC_p1_b5,Carollia perspicillata,IC,1,5
16,0.0392,C_persp_IC_p1_b5,Carollia perspicillata,IC,1,5
17,0.0426,C_persp_IC_p1_b6,Carollia perspicillata,IC,1,6
18,0.0439,C_persp_IC_p1_b6,Carollia perspicillata,IC,1,6
19,0.0482,C_persp_IC_p1_b6,Carollia perspicillata,IC,1,6
20,0.0418,C_persp_IC_p1_b7,Carollia perspicillata,IC,1,7
21,0.0439,C_persp_IC_p1_b7,Carollia perspicillata,IC,1,7
22,0.0405,C_persp_IC_p1_b7,Carollia perspicillata,IC,1,7
23,0.0405,C_persp_IC_p1_b7,Carollia perspicillata,IC,1,7
24,0.0452,C_persp_IC_p1_b8,Carollia perspicillata,IC,1,8
25,0.0413,C_persp_IC_p1_b8,Carollia perspicillata,IC,1,8
26,0.0426,C_persp_IC_p1_b8,Carollia perspicillata,IC,1,8
27,0.046,C_persp_IC_p1_b8,Carollia perspicillata,IC,1,8
28,0.0413,C_persp_IC_p1_b9,Carollia perspicillata,IC,1,9
29,0.0401,C_persp_IC_p1_b9,Carollia perspicillata,IC,1,9
30,0.0418,C_persp_IC_p1_b9,Carollia perspicillata,IC,1,9
31,0.0379,C_persp_IC_p1_b10,Carollia perspicillata,IC,1,10
32,0.0388,C_persp_IC_p1_b10,Carollia perspicillata,IC,1,10
33,0.0375,C_persp_IC_p1_b10,Carollia perspicillata,IC,1,10
34,0.0418,C_persp_IC_p1_b11,Carollia perspicillata,IC,1,11
35,0.0388,C_persp_IC_p1_b11,Carollia perspicillata,IC,1,11
