IOI;Data;;;
0,0765;S_bil_IC_p21_2;;;
0,1212;S_bil_IC_p21_2;;;
0,0579;S_bil_IC_p21_2;;;
0,0812;S_bil_IC_p21_2;;;
0,0512;S_bil_IC_p21_2;;;
0,0786000000000001;S_bil_IC_p21_2;;;
0,0625;S_bil_IC_p21_2;;;
0,0931999999999999;S_bil_IC_p21_2;;;
0,0506;S_bil_IC_p21_2;;;
0,0905;S_bil_IC_p21_2;;;
0,0586;S_bil_IC_p21_2;;;
0,0832;S_bil_IC_p21_4;;;
0,0872;S_bil_IC_p21_4;;;
0,0912;S_bil_IC_p21_4;;;
0,0619;S_bil_IC_p21_4;;;
0,0619;S_bil_IC_p21_4;;;
0,0652;S_bil_IC_p21_4;;;
0,0719;S_bil_IC_p21_4;;;
0,0606;S_bil_IC_p21_4;;;
0,0725;S_bil_IC_p21_4;;;
0,0666;S_bil_IC_p21_4;;;
0,0912;S_bil_IC_p21_6;;;
0,0852;S_bil_IC_p21_6;;;
0,0719;S_bil_IC_p21_6;;;
0,0738;S_bil_IC_p21_6;;;
0,0633;S_bil_IC_p21_6;;;
0,0752;S_bil_IC_p21_6;;;
0,0631999999999999;S_bil_IC_p21_6;;;
0,0746;S_bil_IC_p21_6;;;
0,0685;S_bil_IC_p21_6;;;
0,0759000000000001;S_bil_IC_p21_6;;;
0,0739;S_bil_IC_p21_6;;;
0,0831999999999999;S_bil_IC_p21_6;;;
0,0679;S_bil_IC_p21_6;;;
0,0772000000000002;S_bil_IC_p21_6;;;
0,0765;S_bil_IC_p21_6;;;
0,0846;S_bil_IC_p21_6;;;
0,0772;S_bil_IC_p21_8;;;
0,0726;S_bil_IC_p21_8;;;
0,0665;S_bil_IC_p21_8;;;
0,0473;S_bil_IC_p21_8;;;
0,0659;S_bil_IC_p21_8;;;
0,0639;S_bil_IC_p21_8;;;
0,0652;S_bil_IC_p21_8;;;
0,0611999999999999;S_bil_IC_p21_8;;;
0,0693;S_bil_IC_p21_8;;;
0,0619000000000001;S_bil_IC_p21_8;;;
