,ioi,datafile,species,call_type,individual,call
0,0.0765,S_bil_IC_p21_2,Saccopteryx bilineata,IC,21,2
1,0.1212,S_bil_IC_p21_2,Saccopteryx bilineata,IC,21,2
2,0.0579,S_bil_IC_p21_2,Saccopteryx bilineata,IC,21,2
3,0.0812,S_bil_IC_p21_2,Saccopteryx bilineata,IC,21,2
4,0.0512,S_bil_IC_p21_2,Saccopteryx bilineata,IC,21,2
5,0.0786000000000001,S_bil_IC_p21_2,Saccopteryx bilineata,IC,21,2
6,0.0625,S_bil_IC_p21_2,Saccopteryx bilineata,IC,21,2
7,0.0931999999999999,S_bil_IC_p21_2,Saccopteryx bilineata,IC,21,2
8,0.0506,S_bil_IC_p21_2,Saccopteryx bilineata,IC,21,2
9,0.0905,S_bil_IC_p21_2,Saccopteryx bilineata,IC,21,2
10,0.0586,S_bil_IC_p21_2,Saccopteryx bilineata,IC,21,2
11,0.0832,S_bil_IC_p21_4,Saccopteryx bilineata,IC,21,4
12,0.0872,S_bil_IC_p21_4,Saccopteryx bilineata,IC,21,4
13,0.0912,S_bil_IC_p21_4,Saccopteryx bilineata,IC,21,4
14,0.0619,S_bil_IC_p21_4,Saccopteryx bilineata,IC,21,4
15,0.0619,S_bil_IC_p21_4,Saccopteryx bilineata,IC,21,4
16,0.0652,S_bil_IC_p21_4,Saccopteryx bilineata,IC,21,4
17,0.0719,S_bil_IC_p21_4,Saccopteryx bilineata,IC,21,4
18,0.0606,S_bil_IC_p21_4,Saccopteryx bilineata,IC,21,4
19,0.0725,S_bil_IC_p21_4,Saccopteryx bilineata,IC,21,4
20,0.0666,S_bil_IC_p21_4,Saccopteryx bilineata,IC,21,4
21,0.0912,S_bil_IC_p21_6,Saccopteryx bilineata,IC,21,6
22,0.0852,S_bil_IC_p21_6,Saccopteryx bilineata,IC,21,6
23,0.0719,S_bil_IC_p21_6,Saccopteryx bilineata,IC,21,6
24,0.0738,S_bil_IC_p21_6,Saccopteryx bilineata,IC,21,6
25,0.0633,S_bil_IC_p21_6,Saccopteryx bilineata,IC,21,6
26,0.0752,S_bil_IC_p21_6,Saccopteryx bilineata,IC,21,6
27,0.0631999999999999,S_bil_IC_p21_6,Saccopteryx bilineata,IC,21,6
28,0.0746,S_bil_IC_p21_6,Saccopteryx bilineata,IC,21,6
29,0.0685,S_bil_IC_p21_6,Saccopteryx bilineata,IC,21,6
30,0.0759000000000001,S_bil_IC_p21_6,Saccopteryx bilineata,IC,21,6
31,0.0739,S_bil_IC_p21_6,Saccopteryx bilineata,IC,21,6
32,0.0831999999999999,S_bil_IC_p21_6,Saccopteryx bilineata,IC,21,6
33,0.0679,S_bil_IC_p21_6,Saccopteryx bilineata,IC,21,6
34,0.0772000000000002,S_bil_IC_p21_6,Saccopteryx bilineata,IC,21,6
35,0.0765,S_bil_IC_p21_6,Saccopteryx bilineata,IC,21,6
36,0.0846,S_bil_IC_p21_6,Saccopteryx bilineata,IC,21,6
